[4893-1]R=968759; MaxAge=767; Rsp=0.027564;(0.012755)(0.005552)(0.009132)(0.000125)
[4893-2]R=968762; MaxAge=765; Rsp=0.028145;(0.012894)(0.005970)(0.009151)(0.000130)
[4893-3]R=968765; MaxAge=764; Rsp=0.028076;(0.012906)(0.005972)(0.009085)(0.000113)
[4893-4]R=968768; MaxAge=762; Rsp=0.027074;(0.012844)(0.005968)(0.008134)(0.000128)
[4893-5]R=968771; MaxAge=761; Rsp=0.028036;(0.012833)(0.006011)(0.009077)(0.000115)
[4893-6]R=968774; MaxAge=761; Rsp=0.028161;(0.012831)(0.005989)(0.009102)(0.000239)
[4893-7]R=968777; MaxAge=761; Rsp=0.028058;(0.012881)(0.005976)(0.009087)(0.000114)
[4893-8]R=968780; MaxAge=760; Rsp=0.028088;(0.012876)(0.005984)(0.009119)(0.000109)
[4893-9]R=968783; MaxAge=760; Rsp=0.028065;(0.012862)(0.006018)(0.009070)(0.000115)
[4893-10]R=968786; MaxAge=760; Rsp=0.028152;(0.012847)(0.005999)(0.009079)(0.000227)
[4893-11]R=968789; MaxAge=760; Rsp=0.026187;(0.012859)(0.005038)(0.008176)(0.000114)
[4893-12]R=968792; MaxAge=760; Rsp=0.026135;(0.012824)(0.005031)(0.008172)(0.000108)
[4893-13]R=968795; MaxAge=758; Rsp=0.028006;(0.012836)(0.006048)(0.009020)(0.000102)
[4893-14]R=968798; MaxAge=758; Rsp=0.027161;(0.012862)(0.005080)(0.008998)(0.000221)
[4893-15]R=968801; MaxAge=757; Rsp=0.028083;(0.012852)(0.006010)(0.009107)(0.000114)
[4893-16]R=968804; MaxAge=757; Rsp=0.027155;(0.012837)(0.005991)(0.008096)(0.000231)
[4893-17]R=968807; MaxAge=756; Rsp=0.028064;(0.012859)(0.006007)(0.009082)(0.000116)
[4893-18]R=968810; MaxAge=754; Rsp=0.028190;(0.012872)(0.006002)(0.009082)(0.000234)
[4893-19]R=968813; MaxAge=753; Rsp=0.028053;(0.012860)(0.006017)(0.009068)(0.000108)
[4893-20]R=968816; MaxAge=753; Rsp=0.028159;(0.012862)(0.005997)(0.009075)(0.000225)
[4893-21]R=968819; MaxAge=753; Rsp=0.028104;(0.012879)(0.005960)(0.009144)(0.000121)
[4893-22]R=968822; MaxAge=752; Rsp=0.028165;(0.012844)(0.006023)(0.009075)(0.000223)
[4893-23]R=968825; MaxAge=752; Rsp=0.028058;(0.012849)(0.006011)(0.009083)(0.000115)
[4893-24]R=968828; MaxAge=752; Rsp=0.028029;(0.012824)(0.005987)(0.009092)(0.000126)
[4893-25]R=968831; MaxAge=752; Rsp=0.028110;(0.012903)(0.005996)(0.009096)(0.000115)
[4893-26]R=968834; MaxAge=752; Rsp=0.027171;(0.012811)(0.005053)(0.009084)(0.000223)
[4893-27]R=968837; MaxAge=751; Rsp=0.028047;(0.012849)(0.006008)(0.009076)(0.000114)
[4893-28]R=968840; MaxAge=751; Rsp=0.028042;(0.012849)(0.006007)(0.009076)(0.000110)
[4893-29]R=968843; MaxAge=750; Rsp=0.028061;(0.012859)(0.005998)(0.009095)(0.000109)
[4893-30]R=968846; MaxAge=750; Rsp=0.028163;(0.012885)(0.005991)(0.009062)(0.000225)
[4893-31]R=968849; MaxAge=750; Rsp=0.028074;(0.012863)(0.005994)(0.009102)(0.000115)
