[1-0]R=403; MaxAge=200; Cached=0, Rsp=0.220865;(0.012243)(0.200128)(0.008243)(0.000251)
[1-0]R=404; MaxAge=200; Cached=0, Rsp=0.220940;(0.012284)(0.200113)(0.008233)(0.000310)
[1-0]R=404; MaxAge=200; Cached=1, Rsp=0.000732;(0.000000)(0.000000)(0.000000)(0.000716)
[1-0]R=405; MaxAge=200; Cached=0, Rsp=0.220850;(0.012221)(0.200135)(0.008229)(0.000265)
[1-0]R=405; MaxAge=200; Cached=1, Rsp=0.000766;(0.000000)(0.000000)(0.000000)(0.000750)
[1-0]R=406; MaxAge=200; Cached=0, Rsp=0.220934;(0.012298)(0.200130)(0.008235)(0.000271)
[1-0]R=406; MaxAge=200; Cached=1, Rsp=0.000283;(0.000000)(0.000000)(0.000000)(0.000270)
[1-0]R=406; MaxAge=200; Cached=1, Rsp=0.000604;(0.000000)(0.000000)(0.000000)(0.000588)
[1-0]R=407; MaxAge=200; Cached=0, Rsp=0.220899;(0.012250)(0.200128)(0.008251)(0.000270)
[1-0]R=407; MaxAge=200; Cached=1, Rsp=0.000294;(0.000000)(0.000000)(0.000000)(0.000282)
[1-0]R=407; MaxAge=200; Cached=1, Rsp=0.000534;(0.000000)(0.000000)(0.000000)(0.000519)
[1-0]R=407; MaxAge=200; Cached=1, Rsp=0.000583;(0.000000)(0.000000)(0.000000)(0.000570)
[1-0]R=408; MaxAge=200; Cached=0, Rsp=0.220846;(0.012227)(0.200130)(0.008224)(0.000265)
[1-0]R=408; MaxAge=200; Cached=1, Rsp=0.000241;(0.000000)(0.000000)(0.000000)(0.000228)
[1-0]R=408; MaxAge=200; Cached=1, Rsp=0.000499;(0.000000)(0.000000)(0.000000)(0.000486)
[1-0]R=408; MaxAge=200; Cached=1, Rsp=0.001202;(0.000000)(0.000000)(0.000000)(0.001189)
[1-0]R=408; MaxAge=200; Cached=1, Rsp=0.001456;(0.000000)(0.000000)(0.000000)(0.001441)
[1-0]R=409; MaxAge=200; Cached=0, Rsp=0.220897;(0.012268)(0.200124)(0.008238)(0.000267)
[1-0]R=409; MaxAge=200; Cached=1, Rsp=0.000208;(0.000000)(0.000000)(0.000000)(0.000195)
[1-0]R=409; MaxAge=200; Cached=1, Rsp=0.000466;(0.000000)(0.000000)(0.000000)(0.000453)
[1-0]R=409; MaxAge=200; Cached=1, Rsp=0.000703;(0.000000)(0.000000)(0.000000)(0.000690)
[1-0]R=409; MaxAge=200; Cached=1, Rsp=0.000945;(0.000000)(0.000000)(0.000000)(0.000929)
[1-0]R=409; MaxAge=200; Cached=1, Rsp=0.000991;(0.000000)(0.000000)(0.000000)(0.000979)
[1-0]R=409; MaxAge=200; Cached=1, Rsp=0.001236;(0.000000)(0.000000)(0.000000)(0.001223)
[1-0]R=410; MaxAge=200; Cached=1, Rsp=0.000171;(0.000000)(0.000000)(0.000000)(0.000155)
[1-0]R=410; MaxAge=200; Cached=1, Rsp=0.000137;(0.000000)(0.000000)(0.000000)(0.000123)
[1-0]R=410; MaxAge=200; Cached=1, Rsp=0.001631;(0.000000)(0.000000)(0.000000)(0.001619)
[1-0]R=410; MaxAge=200; Cached=0, Rsp=0.223228;(0.012276)(0.200121)(0.008237)(0.002594)
[1-0]R=410; MaxAge=200; Cached=1, Rsp=0.002045;(0.000000)(0.000000)(0.000000)(0.002032)
[1-0]R=410; MaxAge=200; Cached=1, Rsp=0.002466;(0.000000)(0.000000)(0.000000)(0.002453)
[1-0]R=410; MaxAge=200; Cached=1, Rsp=0.002398;(0.000000)(0.000000)(0.000000)(0.002386)
[1-0]R=411; MaxAge=200; Cached=0, Rsp=0.220837;(0.012227)(0.200110)(0.008234)(0.000266)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.000232;(0.000000)(0.000000)(0.000000)(0.000215)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.000223;(0.000000)(0.000000)(0.000000)(0.000211)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.000479;(0.000000)(0.000000)(0.000000)(0.000466)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.000715;(0.000000)(0.000000)(0.000000)(0.000702)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.001005;(0.000000)(0.000000)(0.000000)(0.000992)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.000671;(0.000000)(0.000000)(0.000000)(0.000659)
[1-0]R=411; MaxAge=200; Cached=1, Rsp=0.001301;(0.000000)(0.000000)(0.000000)(0.001288)
[1-0]R=412; MaxAge=200; Cached=0, Rsp=0.221004;(0.012302)(0.200112)(0.008236)(0.000354)
[1-0]R=412; MaxAge=200; Cached=1, Rsp=0.000198;(0.000000)(0.000000)(0.000000)(0.000185)
[1-0]R=412; MaxAge=200; Cached=1, Rsp=0.000470;(0.000000)(0.000000)(0.000000)(0.000451)
[1-0]R=412; MaxAge=200; Cached=1, Rsp=0.000953;(0.000000)(0.000000)(0.000000)(0.000937)
[1-0]R=412; MaxAge=200; Cached=1, Rsp=0.000499;(0.000000)(0.000000)(0.000000)(0.000487)
[1-0]R=412; MaxAge=200; Cached=1, Rsp=0.000516;(0.000000)(0.000000)(0.000000)(0.000503)
