[9383-0]R=729742; MaxAge=971; Cached=0, Rsp=0.025657;(0.012239)(0.005124)(0.008211)(0.000083)
[9383-0]R=729744; MaxAge=931; Cached=0, Rsp=0.025705;(0.012308)(0.005102)(0.008209)(0.000086)
[9383-0]R=729745; MaxAge=967; Cached=0, Rsp=0.025498;(0.012183)(0.005105)(0.008157)(0.000053)
[9383-0]R=729746; MaxAge=947; Cached=0, Rsp=0.025663;(0.012241)(0.005121)(0.008215)(0.000086)
[9383-0]R=729748; MaxAge=932; Cached=0, Rsp=0.025639;(0.012214)(0.005091)(0.008234)(0.000100)
[9383-0]R=729748; MaxAge=932; Cached=1, Rsp=0.000422;(0.000000)(0.000000)(0.000000)(0.000420)
[9383-0]R=729750; MaxAge=973; Cached=0, Rsp=0.025621;(0.012197)(0.005128)(0.008210)(0.000086)
[9383-0]R=729751; MaxAge=953; Cached=0, Rsp=0.025619;(0.012214)(0.005126)(0.008195)(0.000084)
[9383-0]R=729752; MaxAge=933; Cached=0, Rsp=0.025641;(0.012235)(0.005125)(0.008196)(0.000085)
[9383-0]R=729754; MaxAge=947; Cached=0, Rsp=0.025623;(0.012220)(0.005106)(0.008213)(0.000084)
[9383-0]R=729754; MaxAge=947; Cached=1, Rsp=0.000193;(0.000000)(0.000000)(0.000000)(0.000192)
[9383-0]R=729754; MaxAge=947; Cached=1, Rsp=0.000645;(0.000000)(0.000000)(0.000000)(0.000643)
[9383-0]R=729756; MaxAge=932; Cached=0, Rsp=0.025635;(0.012230)(0.005108)(0.008212)(0.000085)
[9383-0]R=729756; MaxAge=932; Cached=1, Rsp=0.000065;(0.000000)(0.000000)(0.000000)(0.000063)
[9383-0]R=729757; MaxAge=967; Cached=0, Rsp=0.025641;(0.012242)(0.005124)(0.008194)(0.000081)
[9383-0]R=729758; MaxAge=947; Cached=0, Rsp=0.025662;(0.012240)(0.005129)(0.008210)(0.000083)
[9383-0]R=729758; MaxAge=947; Cached=1, Rsp=0.000321;(0.000000)(0.000000)(0.000000)(0.000319)
[9383-0]R=729758; MaxAge=947; Cached=1, Rsp=0.000499;(0.000000)(0.000000)(0.000000)(0.000497)
[9383-0]R=729760; MaxAge=933; Cached=0, Rsp=0.025648;(0.012242)(0.005106)(0.008214)(0.000086)
[9383-0]R=729760; MaxAge=933; Cached=1, Rsp=0.000260;(0.000000)(0.000000)(0.000000)(0.000259)
[9383-0]R=729760; MaxAge=933; Cached=1, Rsp=0.000444;(0.000000)(0.000000)(0.000000)(0.000442)
[9383-0]R=729762; MaxAge=974; Cached=0, Rsp=0.025658;(0.012244)(0.005122)(0.008207)(0.000085)
[9383-0]R=729762; MaxAge=974; Cached=1, Rsp=0.000151;(0.000000)(0.000000)(0.000000)(0.000149)
[9383-0]R=729762; MaxAge=974; Cached=1, Rsp=0.000335;(0.000000)(0.000000)(0.000000)(0.000333)
[9383-0]R=729763; MaxAge=953; Cached=0, Rsp=0.025650;(0.012234)(0.005125)(0.008210)(0.000081)
[9383-0]R=729763; MaxAge=953; Cached=1, Rsp=0.000236;(0.000000)(0.000000)(0.000000)(0.000234)
[9383-0]R=729764; MaxAge=933; Cached=1, Rsp=0.000065;(0.000000)(0.000000)(0.000000)(0.000063)
[9383-0]R=729764; MaxAge=933; Cached=0, Rsp=0.025723;(0.012241)(0.005191)(0.008209)(0.000082)
[9383-0]R=729766; MaxAge=974; Cached=0, Rsp=0.025638;(0.012240)(0.005124)(0.008193)(0.000081)
[9383-0]R=729766; MaxAge=974; Cached=1, Rsp=0.000168;(0.000000)(0.000000)(0.000000)(0.000167)
[9383-0]R=729766; MaxAge=974; Cached=1, Rsp=0.000531;(0.000000)(0.000000)(0.000000)(0.000529)
[9383-0]R=729766; MaxAge=974; Cached=1, Rsp=0.000582;(0.000000)(0.000000)(0.000000)(0.000580)
[9383-0]R=729766; MaxAge=974; Cached=1, Rsp=0.000748;(0.000000)(0.000000)(0.000000)(0.000747)
[9383-0]R=729766; MaxAge=974; Cached=1, Rsp=0.000905;(0.000000)(0.000000)(0.000000)(0.000903)
[9383-0]R=729768; MaxAge=959; Cached=0, Rsp=0.025656;(0.012241)(0.005127)(0.008202)(0.000086)
[9383-0]R=729768; MaxAge=959; Cached=1, Rsp=0.000083;(0.000000)(0.000000)(0.000000)(0.000081)
[9383-0]R=729768; MaxAge=959; Cached=1, Rsp=0.000529;(0.000000)(0.000000)(0.000000)(0.000527)
[9383-0]R=729769; MaxAge=939; Cached=1, Rsp=0.000052;(0.000000)(0.000000)(0.000000)(0.000050)
[9383-0]R=729769; MaxAge=939; Cached=0, Rsp=0.025637;(0.012240)(0.005106)(0.008208)(0.000083)
[9383-0]R=729770; MaxAge=974; Cached=0, Rsp=0.025649;(0.012231)(0.005128)(0.008207)(0.000083)
[9383-0]R=729770; MaxAge=974; Cached=1, Rsp=0.000056;(0.000000)(0.000000)(0.000000)(0.000055)
[9383-0]R=729770; MaxAge=974; Cached=1, Rsp=0.000268;(0.000000)(0.000000)(0.000000)(0.000266)
[9383-0]R=729770; MaxAge=974; Cached=1, Rsp=0.000437;(0.000000)(0.000000)(0.000000)(0.000435)
[9383-0]R=729772; MaxAge=960; Cached=0, Rsp=0.025641;(0.012225)(0.005124)(0.008210)(0.000082)
[9383-0]R=729772; MaxAge=960; Cached=1, Rsp=0.000169;(0.000000)(0.000000)(0.000000)(0.000168)
[9383-0]R=729772; MaxAge=960; Cached=1, Rsp=0.000347;(0.000000)(0.000000)(0.000000)(0.000345)
[9383-0]R=729772; MaxAge=960; Cached=1, Rsp=0.000397;(0.000000)(0.000000)(0.000000)(0.000395)
[9383-0]R=729773; MaxAge=940; Cached=0, Rsp=0.025664;(0.012244)(0.005125)(0.008211)(0.000084)
[9383-0]R=729773; MaxAge=1; Cached=1, Rsp=0.000129;(0.000000)(0.000000)(0.000000)(0.000127)
[9383-0]R=729773; MaxAge=1; Cached=1, Rsp=0.000063;(0.000000)(0.000000)(0.000000)(0.000062)
[9383-0]R=729773; MaxAge=1; Cached=1, Rsp=0.000309;(0.000000)(0.000000)(0.000000)(0.000308)
[9383-0]R=729773; MaxAge=1; Cached=1, Rsp=0.000475;(0.000000)(0.000000)(0.000000)(0.000473)
[9383-0]R=729775; MaxAge=980; Cached=1, Rsp=0.000060;(0.000000)(0.000000)(0.000000)(0.000058)
[9383-0]R=729775; MaxAge=980; Cached=0, Rsp=0.025655;(0.012239)(0.005124)(0.008210)(0.000082)
[9383-0]R=729776; MaxAge=960; Cached=0, Rsp=0.025651;(0.012237)(0.005122)(0.008210)(0.000082)
[9383-0]R=729776; MaxAge=960; Cached=1, Rsp=0.000062;(0.000000)(0.000000)(0.000000)(0.000061)
[9383-0]R=729778; MaxAge=946; Cached=0, Rsp=0.025642;(0.012241)(0.005121)(0.008195)(0.000085)
[9383-0]R=729778; MaxAge=946; Cached=1, Rsp=0.000214;(0.000000)(0.000000)(0.000000)(0.000213)
[9383-0]R=729778; MaxAge=946; Cached=1, Rsp=0.000349;(0.000000)(0.000000)(0.000000)(0.000348)
[9383-0]R=729778; MaxAge=946; Cached=1, Rsp=0.000490;(0.000000)(0.000000)(0.000000)(0.000488)
[9383-0]R=729778; MaxAge=946; Cached=1, Rsp=0.000662;(0.000000)(0.000000)(0.000000)(0.000661)
[9383-0]R=729778; MaxAge=946; Cached=1, Rsp=0.000814;(0.000000)(0.000000)(0.000000)(0.000812)
[9383-0]R=729778; MaxAge=946; Cached=1, Rsp=0.001023;(0.000000)(0.000000)(0.000000)(0.001021)
[9383-0]R=729780; MaxAge=931; Cached=0, Rsp=0.025655;(0.012247)(0.005130)(0.008196)(0.000082)
[9383-0]R=729780; MaxAge=931; Cached=1, Rsp=0.000064;(0.000000)(0.000000)(0.000000)(0.000062)
[9383-0]R=729781; MaxAge=967; Cached=1, Rsp=0.000060;(0.000000)(0.000000)(0.000000)(0.000059)
[9383-0]R=729781; MaxAge=967; Cached=0, Rsp=0.025656;(0.012238)(0.005127)(0.008209)(0.000082)
[9383-0]R=729782; MaxAge=947; Cached=0, Rsp=0.025655;(0.012236)(0.005125)(0.008212)(0.000082)
[9383-0]R=729782; MaxAge=947; Cached=1, Rsp=0.000081;(0.000000)(0.000000)(0.000000)(0.000080)
[9383-0]R=729782; MaxAge=947; Cached=1, Rsp=0.000246;(0.000000)(0.000000)(0.000000)(0.000244)
[9383-0]R=729782; MaxAge=947; Cached=1, Rsp=0.000434;(0.000000)(0.000000)(0.000000)(0.000432)
[9383-0]R=729782; MaxAge=8; Cached=1, Rsp=0.000125;(0.000000)(0.000000)(0.000000)(0.000123)
[9383-0]R=729784; MaxAge=932; Cached=0, Rsp=0.025678;(0.012258)(0.005122)(0.008211)(0.000087)
[9383-0]R=729784; MaxAge=932; Cached=1, Rsp=0.000080;(0.000000)(0.000000)(0.000000)(0.000078)
[9383-0]R=729784; MaxAge=932; Cached=1, Rsp=0.000479;(0.000000)(0.000000)(0.000000)(0.000477)
[9383-0]R=729784; MaxAge=932; Cached=1, Rsp=0.000646;(0.000000)(0.000000)(0.000000)(0.000644)
[9383-0]R=729784; MaxAge=932; Cached=1, Rsp=0.000857;(0.000000)(0.000000)(0.000000)(0.000855)
[9383-0]R=729786; MaxAge=972; Cached=0, Rsp=0.025643;(0.012240)(0.005118)(0.008204)(0.000081)
[9383-0]R=729786; MaxAge=972; Cached=1, Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000080)
[9383-0]R=729786; MaxAge=972; Cached=1, Rsp=0.000285;(0.000000)(0.000000)(0.000000)(0.000283)
[9383-0]R=729786; MaxAge=972; Cached=1, Rsp=0.000448;(0.000000)(0.000000)(0.000000)(0.000446)
[9383-0]R=729787; MaxAge=952; Cached=1, Rsp=0.000063;(0.000000)(0.000000)(0.000000)(0.000061)
[9383-0]R=729787; MaxAge=952; Cached=0, Rsp=0.025622;(0.012225)(0.005103)(0.008211)(0.000083)
[9383-0]R=729788; MaxAge=932; Cached=0, Rsp=0.025658;(0.012219)(0.005125)(0.008227)(0.000087)
[9383-0]R=729788; MaxAge=932; Cached=1, Rsp=0.000055;(0.000000)(0.000000)(0.000000)(0.000054)
[9383-0]R=729788; MaxAge=932; Cached=1, Rsp=0.000390;(0.000000)(0.000000)(0.000000)(0.000387)
[9383-0]R=729788; MaxAge=932; Cached=1, Rsp=0.000631;(0.000000)(0.000000)(0.000000)(0.000630)
[9383-0]R=729790; MaxAge=973; Cached=0, Rsp=0.025624;(0.012234)(0.005121)(0.008188)(0.000081)
[9383-0]R=729790; MaxAge=973; Cached=1, Rsp=0.000076;(0.000000)(0.000000)(0.000000)(0.000075)
[9383-0]R=729790; MaxAge=973; Cached=1, Rsp=0.000303;(0.000000)(0.000000)(0.000000)(0.000302)
[9383-0]R=729790; MaxAge=973; Cached=1, Rsp=0.000421;(0.000000)(0.000000)(0.000000)(0.000420)
[9383-0]R=729790; MaxAge=973; Cached=1, Rsp=0.000595;(0.000000)(0.000000)(0.000000)(0.000592)
[9383-0]R=729790; MaxAge=973; Cached=1, Rsp=0.000777;(0.000000)(0.000000)(0.000000)(0.000776)
[9383-0]R=729790; MaxAge=973; Cached=1, Rsp=0.000933;(0.000000)(0.000000)(0.000000)(0.000931)
[9383-0]R=729792; MaxAge=958; Cached=1, Rsp=0.000063;(0.000000)(0.000000)(0.000000)(0.000061)
[9383-0]R=729793; MaxAge=939; Cached=0, Rsp=0.025617;(0.012240)(0.005086)(0.008210)(0.000081)
[9383-0]R=729793; MaxAge=939; Cached=1, Rsp=0.000055;(0.000000)(0.000000)(0.000000)(0.000053)
[9383-0]R=729793; MaxAge=939; Cached=1, Rsp=0.000258;(0.000000)(0.000000)(0.000000)(0.000257)
[9383-0]R=729793; MaxAge=939; Cached=1, Rsp=0.000334;(0.000000)(0.000000)(0.000000)(0.000333)
[9383-0]R=729794; MaxAge=974; Cached=0, Rsp=0.025612;(0.012254)(0.005104)(0.008169)(0.000085)
[9383-0]R=729794; MaxAge=974; Cached=1, Rsp=0.000086;(0.000000)(0.000000)(0.000000)(0.000084)
[9383-0]R=729794; MaxAge=974; Cached=1, Rsp=0.000306;(0.000000)(0.000000)(0.000000)(0.000304)
[9383-0]R=729796; MaxAge=959; Cached=0, Rsp=0.025634;(0.012238)(0.005124)(0.008191)(0.000081)
[9383-0]R=729796; MaxAge=959; Cached=1, Rsp=0.000075;(0.000000)(0.000000)(0.000000)(0.000073)
[9383-0]R=729796; MaxAge=959; Cached=1, Rsp=0.000275;(0.000000)(0.000000)(0.000000)(0.000274)
[9383-0]R=729796; MaxAge=959; Cached=1, Rsp=0.000440;(0.000000)(0.000000)(0.000000)(0.000439)
[9383-0]R=729798; MaxAge=945; Cached=0, Rsp=0.025643;(0.012240)(0.005112)(0.008208)(0.000083)
[9383-0]R=729798; MaxAge=945; Cached=1, Rsp=0.000055;(0.000000)(0.000000)(0.000000)(0.000054)
[9383-0]R=729798; MaxAge=945; Cached=1, Rsp=0.000261;(0.000000)(0.000000)(0.000000)(0.000259)
[9383-0]R=729798; MaxAge=945; Cached=1, Rsp=0.000449;(0.000000)(0.000000)(0.000000)(0.000447)
[9383-0]R=729798; MaxAge=945; Cached=1, Rsp=0.000592;(0.000000)(0.000000)(0.000000)(0.000590)
[9383-0]R=729798; MaxAge=6; Cached=1, Rsp=0.000129;(0.000000)(0.000000)(0.000000)(0.000127)
[9383-0]R=729798; MaxAge=6; Cached=1, Rsp=0.000070;(0.000000)(0.000000)(0.000000)(0.000068)
[9383-0]R=729800; MaxAge=931; Cached=0, Rsp=0.025431;(0.012131)(0.005093)(0.008161)(0.000046)
[9383-0]R=729802; MaxAge=972; Cached=0, Rsp=0.025647;(0.012225)(0.005124)(0.008214)(0.000084)
[9383-0]R=729802; MaxAge=972; Cached=1, Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000081)
[9383-0]R=729802; MaxAge=972; Cached=1, Rsp=0.000302;(0.000000)(0.000000)(0.000000)(0.000301)
[9383-0]R=729802; MaxAge=972; Cached=1, Rsp=0.000407;(0.000000)(0.000000)(0.000000)(0.000406)
[9383-0]R=729802; MaxAge=972; Cached=1, Rsp=0.000602;(0.000000)(0.000000)(0.000000)(0.000601)
[9383-0]R=729802; MaxAge=972; Cached=1, Rsp=0.000757;(0.000000)(0.000000)(0.000000)(0.000755)
[9383-0]R=729803; MaxAge=952; Cached=0, Rsp=0.025651;(0.012240)(0.005121)(0.008209)(0.000081)
[9383-0]R=729803; MaxAge=952; Cached=1, Rsp=0.000059;(0.000000)(0.000000)(0.000000)(0.000057)
[9383-0]R=729804; MaxAge=931; Cached=0, Rsp=0.025663;(0.012242)(0.005129)(0.008209)(0.000083)
[9383-0]R=729805; MaxAge=967; Cached=0, Rsp=0.025659;(0.012243)(0.005120)(0.008214)(0.000082)
[9383-0]R=729805; MaxAge=967; Cached=1, Rsp=0.000063;(0.000000)(0.000000)(0.000000)(0.000061)
[9383-0]R=729806; MaxAge=947; Cached=1, Rsp=0.000035;(0.000000)(0.000000)(0.000000)(0.000033)
[9383-0]R=729806; MaxAge=947; Cached=1, Rsp=0.000175;(0.000000)(0.000000)(0.000000)(0.000174)
[9383-0]R=729808; MaxAge=933; Cached=0, Rsp=0.025732;(0.012237)(0.005201)(0.008212)(0.000082)
[9383-0]R=729808; MaxAge=933; Cached=1, Rsp=0.000075;(0.000000)(0.000000)(0.000000)(0.000073)
[9383-0]R=729808; MaxAge=933; Cached=1, Rsp=0.000281;(0.000000)(0.000000)(0.000000)(0.000279)
[9383-0]R=729808; MaxAge=933; Cached=1, Rsp=0.000471;(0.000000)(0.000000)(0.000000)(0.000469)
[9383-0]R=729808; MaxAge=933; Cached=1, Rsp=0.000524;(0.000000)(0.000000)(0.000000)(0.000522)
[9383-0]R=729808; MaxAge=933; Cached=1, Rsp=0.000582;(0.000000)(0.000000)(0.000000)(0.000580)
