[9383-26]R=730253; MaxAge=351; Cached=0, Rsp=5.000391;(0.012157)(0.005124)(0.008247)(4.974863)
[9383-34]R=730258; MaxAge=353; Cached=0, Rsp=0.025821;(0.012198)(0.005102)(0.008247)(0.000274)
[9383-35]R=730262; MaxAge=352; Cached=0, Rsp=0.025644;(0.012198)(0.005121)(0.008181)(0.000144)
[9383-27]R=730258; MaxAge=353; Cached=1, Rsp=4.978097;(0.000000)(0.000000)(0.000000)(4.978095)
[9383-28]R=730263; MaxAge=350; Cached=0, Rsp=5.000941;(0.012152)(0.005088)(0.008242)(4.975459)
[9383-29]R=730268; MaxAge=348; Cached=0, Rsp=5.000908;(0.012172)(0.005125)(0.008253)(4.975358)
[9383-30]R=730273; MaxAge=347; Cached=0, Rsp=4.999881;(0.012465)(0.005129)(0.008233)(4.974054)
[9383-31]R=730278; MaxAge=347; Cached=0, Rsp=5.000109;(0.012164)(0.005129)(0.008222)(4.974594)
[9383-32]R=730283; MaxAge=347; Cached=0, Rsp=5.000611;(0.012152)(0.005058)(0.008149)(4.975252)
[9383-33]R=730288; MaxAge=346; Cached=0, Rsp=5.000328;(0.012169)(0.005131)(0.008250)(4.974778)
[9383-34]R=730293; MaxAge=346; Cached=0, Rsp=5.000611;(0.012360)(0.005127)(0.008243)(4.974881)
