[1-0]R=816; MaxAge=200; Cached=0, Rsp=0.220861;(0.012220)(0.200129)(0.008238)(0.000274)
[1-0]R=816; MaxAge=200; Cached=1, Rsp=0.000153;(0.000000)(0.000000)(0.000000)(0.000136)
[1-0]R=816; MaxAge=145; Cached=1, Rsp=0.000333;(0.000000)(0.000000)(0.000000)(0.000294)
[1-0]R=817; MaxAge=200; Cached=0, Rsp=0.220572;(0.012205)(0.200083)(0.008136)(0.000148)
[1-0]R=817; MaxAge=145; Cached=1, Rsp=0.000162;(0.000000)(0.000000)(0.000000)(0.000142)
[1-0]R=818; MaxAge=200; Cached=1, Rsp=0.000146;(0.000000)(0.000000)(0.000000)(0.000130)
[1-0]R=818; MaxAge=200; Cached=0, Rsp=0.220913;(0.012267)(0.200131)(0.008239)(0.000276)
[1-0]R=818; MaxAge=145; Cached=1, Rsp=0.000311;(0.000000)(0.000000)(0.000000)(0.000271)
[1-0]R=819; MaxAge=200; Cached=0, Rsp=0.220873;(0.012273)(0.200128)(0.008217)(0.000255)
[1-0]R=819; MaxAge=145; Cached=1, Rsp=0.000293;(0.000000)(0.000000)(0.000000)(0.000252)
[1-0]R=820; MaxAge=200; Cached=0, Rsp=0.220855;(0.012235)(0.200128)(0.008235)(0.000257)
[1-0]R=820; MaxAge=200; Cached=1, Rsp=0.000147;(0.000000)(0.000000)(0.000000)(0.000131)
[1-0]R=820; MaxAge=145; Cached=1, Rsp=0.000327;(0.000000)(0.000000)(0.000000)(0.000287)
[1-0]R=821; MaxAge=200; Cached=0, Rsp=0.220959;(0.012273)(0.200134)(0.008243)(0.000309)
[1-0]R=822; MaxAge=200; Cached=0, Rsp=0.220800;(0.012170)(0.200128)(0.008240)(0.000262)
[1-0]R=822; MaxAge=200; Cached=1, Rsp=0.000155;(0.000000)(0.000000)(0.000000)(0.000140)
[1-0]R=822; MaxAge=145; Cached=1, Rsp=0.000191;(0.000000)(0.000000)(0.000000)(0.000167)
[1-0]R=823; MaxAge=200; Cached=0, Rsp=0.220895;(0.012263)(0.200123)(0.008234)(0.000275)
[1-0]R=824; MaxAge=200; Cached=0, Rsp=0.220667;(0.012207)(0.200109)(0.008188)(0.000163)
[1-0]R=824; MaxAge=200; Cached=1, Rsp=0.000096;(0.000000)(0.000000)(0.000000)(0.000087)
[1-0]R=824; MaxAge=90; Cached=1, Rsp=0.000318;(0.000000)(0.000000)(0.000000)(0.000278)
[1-0]R=825; MaxAge=200; Cached=0, Rsp=0.220914;(0.012306)(0.200109)(0.008235)(0.000264)
[1-0]R=826; MaxAge=200; Cached=0, Rsp=0.220935;(0.012300)(0.200128)(0.008238)(0.000269)
[1-0]R=826; MaxAge=200; Cached=1, Rsp=0.000165;(0.000000)(0.000000)(0.000000)(0.000149)
[1-0]R=826; MaxAge=90; Cached=1, Rsp=0.000186;(0.000000)(0.000000)(0.000000)(0.000165)
[1-0]R=827; MaxAge=200; Cached=0, Rsp=0.220869;(0.012260)(0.200112)(0.008239)(0.000258)
[1-0]R=828; MaxAge=200; Cached=0, Rsp=0.220805;(0.012207)(0.200110)(0.008231)(0.000257)
[1-0]R=828; MaxAge=200; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000145)
[1-0]R=828; MaxAge=90; Cached=1, Rsp=0.000326;(0.000000)(0.000000)(0.000000)(0.000287)
[1-0]R=829; MaxAge=200; Cached=0, Rsp=0.220884;(0.012249)(0.200121)(0.008231)(0.000283)
[1-0]R=830; MaxAge=200; Cached=1, Rsp=0.000150;(0.000000)(0.000000)(0.000000)(0.000134)
[1-0]R=830; MaxAge=90; Cached=1, Rsp=0.000333;(0.000000)(0.000000)(0.000000)(0.000293)
[1-0]R=831; MaxAge=200; Cached=0, Rsp=0.220865;(0.012226)(0.200131)(0.008230)(0.000278)
[1-0]R=832; MaxAge=200; Cached=0, Rsp=0.220830;(0.012217)(0.200132)(0.008244)(0.000237)
[1-0]R=832; MaxAge=145; Cached=1, Rsp=0.000178;(0.000000)(0.000000)(0.000000)(0.000153)
[1-0]R=832; MaxAge=35; Cached=1, Rsp=0.000339;(0.000000)(0.000000)(0.000000)(0.000302)
[1-0]R=833; MaxAge=200; Cached=0, Rsp=0.220850;(0.012209)(0.200130)(0.008242)(0.000269)
[1-0]R=833; MaxAge=34; Cached=1, Rsp=0.000157;(0.000000)(0.000000)(0.000000)(0.000138)
[1-0]R=834; MaxAge=200; Cached=0, Rsp=0.220851;(0.012220)(0.200112)(0.008238)(0.000281)
[1-0]R=834; MaxAge=35; Cached=1, Rsp=0.000311;(0.000000)(0.000000)(0.000000)(0.000274)
[1-0]R=835; MaxAge=35; Cached=1, Rsp=0.000315;(0.000000)(0.000000)(0.000000)(0.000276)
[1-0]R=836; MaxAge=200; Cached=0, Rsp=0.220773;(0.012358)(0.200116)(0.008173)(0.000126)
[1-0]R=837; MaxAge=200; Cached=0, Rsp=0.220835;(0.012224)(0.200126)(0.008223)(0.000262)
