[1-0]R=927970; MaxAge=970; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000157)
[1-0]R=927972; MaxAge=955; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000157)
[1-0]R=927972; MaxAge=955; Cached=1, Rsp=0.000151;(0.000000)(0.000000)(0.000000)(0.000149)
[1-0]R=927972; MaxAge=955; Cached=1, Rsp=0.000523;(0.000000)(0.000000)(0.000000)(0.000522)
[1-0]R=927972; MaxAge=955; Cached=1, Rsp=0.000753;(0.000000)(0.000000)(0.000000)(0.000751)
[1-0]R=927972; MaxAge=955; Cached=1, Rsp=0.000979;(0.000000)(0.000000)(0.000000)(0.000977)
[1-0]R=927972; MaxAge=955; Cached=0, Rsp=0.026988;(0.012243)(0.005108)(0.008209)(0.001428)
[1-0]R=927974; MaxAge=940; Cached=1, Rsp=0.000160;(0.000000)(0.000000)(0.000000)(0.000158)
[1-0]R=927974; MaxAge=940; Cached=1, Rsp=0.000240;(0.000000)(0.000000)(0.000000)(0.000239)
[1-0]R=927974; MaxAge=940; Cached=0, Rsp=0.026342;(0.012257)(0.005122)(0.008194)(0.000769)
[1-0]R=927974; MaxAge=1; Cached=1, Rsp=0.000313;(0.000000)(0.000000)(0.000000)(0.000311)
[1-0]R=927974; MaxAge=1; Cached=1, Rsp=0.000244;(0.000000)(0.000000)(0.000000)(0.000242)
[1-0]R=927976; MaxAge=980; Cached=0, Rsp=0.025824;(0.012259)(0.005124)(0.008195)(0.000246)
[1-0]R=927976; MaxAge=980; Cached=1, Rsp=0.000143;(0.000000)(0.000000)(0.000000)(0.000141)
[1-0]R=927976; MaxAge=980; Cached=1, Rsp=0.000295;(0.000000)(0.000000)(0.000000)(0.000293)
[1-0]R=927976; MaxAge=980; Cached=1, Rsp=0.000549;(0.000000)(0.000000)(0.000000)(0.000547)
[1-0]R=927978; MaxAge=965; Cached=0, Rsp=0.025823;(0.012228)(0.005123)(0.008212)(0.000260)
[1-0]R=927978; MaxAge=965; Cached=1, Rsp=0.000245;(0.000000)(0.000000)(0.000000)(0.000243)
[1-0]R=927978; MaxAge=965; Cached=1, Rsp=0.000413;(0.000000)(0.000000)(0.000000)(0.000411)
[1-0]R=927978; MaxAge=965; Cached=1, Rsp=0.000660;(0.000000)(0.000000)(0.000000)(0.000658)
