[9480-0]R=579722; MaxAge=927; Cached=0, Rsp=0.025754;(0.012260)(0.005162)(0.008251)(0.000081)
[9480-0]R=579724; MaxAge=965; Cached=0, Rsp=0.025556;(0.012163)(0.005110)(0.008202)(0.000081)
[9480-0]R=579726; MaxAge=949; Cached=0, Rsp=0.025697;(0.012257)(0.005109)(0.008248)(0.000083)
[3683-0]R=579727; MaxAge=927; Cached=1, Rsp=0.000089;(0.000000)(0.000000)(0.000000)(0.000087)
[9480-0]R=579728; MaxAge=961; Cached=0, Rsp=0.025715;(0.012242)(0.005143)(0.008249)(0.000081)
[9480-0]R=579730; MaxAge=943; Cached=0, Rsp=0.025694;(0.012223)(0.005098)(0.008290)(0.000083)
[3683-0]R=579730; MaxAge=943; Cached=1, Rsp=0.000702;(0.000000)(0.000000)(0.000000)(0.000701)
[9480-0]R=579732; MaxAge=981; Cached=0, Rsp=0.025733;(0.012286)(0.005157)(0.008207)(0.000083)
[3683-0]R=579733; MaxAge=959; Cached=1, Rsp=0.000205;(0.000000)(0.000000)(0.000000)(0.000203)
[9480-0]R=579734; MaxAge=937; Cached=0, Rsp=0.025705;(0.012252)(0.005167)(0.008231)(0.000055)
[3683-0]R=579736; MaxAge=977; Cached=1, Rsp=0.000333;(0.000000)(0.000000)(0.000000)(0.000332)
[9480-0]R=579736; MaxAge=977; Cached=0, Rsp=0.025760;(0.012106)(0.005057)(0.008084)(0.000513)
[631-0]R=579738; MaxAge=966; Cached=1, Rsp=0.000118;(0.000000)(0.000000)(0.000000)(0.000117)
[9480-0]R=579738; MaxAge=966; Cached=0, Rsp=0.025623;(0.012095)(0.005058)(0.008086)(0.000384)
[3790-0]R=579738; MaxAge=966; Cached=1, Rsp=0.000396;(0.000000)(0.000000)(0.000000)(0.000395)
[3683-0]R=579739; MaxAge=948; Cached=1, Rsp=0.000228;(0.000000)(0.000000)(0.000000)(0.000227)
[9480-0]R=579740; MaxAge=930; Cached=0, Rsp=0.025663;(0.012204)(0.005059)(0.008285)(0.000115)
[3790-0]R=579740; MaxAge=930; Cached=1, Rsp=0.000186;(0.000000)(0.000000)(0.000000)(0.000185)
[631-0]R=579742; MaxAge=940; Cached=1, Rsp=0.000233;(0.000000)(0.000000)(0.000000)(0.000232)
[3683-0]R=579742; MaxAge=940; Cached=1, Rsp=0.000412;(0.000000)(0.000000)(0.000000)(0.000411)
[9480-0]R=579742; MaxAge=940; Cached=0, Rsp=0.031022;(0.012096)(0.010251)(0.008098)(0.000577)
[3790-0]R=579742; MaxAge=940; Cached=1, Rsp=0.000586;(0.000000)(0.000000)(0.000000)(0.000585)
[9480-0]R=579744; MaxAge=927; Cached=0, Rsp=0.025422;(0.012141)(0.005060)(0.008103)(0.000118)
[3790-0]R=579744; MaxAge=927; Cached=1, Rsp=0.000203;(0.000000)(0.000000)(0.000000)(0.000202)
[5767-0]R=579745; MaxAge=965; Cached=1, Rsp=0.000222;(0.000000)(0.000000)(0.000000)(0.000221)
[3683-0]R=579745; MaxAge=965; Cached=1, Rsp=0.000372;(0.000000)(0.000000)(0.000000)(0.000371)
[631-0]R=579746; MaxAge=947; Cached=1, Rsp=0.000225;(0.000000)(0.000000)(0.000000)(0.000224)
[9480-0]R=579746; MaxAge=947; Cached=0, Rsp=0.025673;(0.012130)(0.005058)(0.008079)(0.000406)
[3790-0]R=579746; MaxAge=947; Cached=1, Rsp=0.000419;(0.000000)(0.000000)(0.000000)(0.000418)
[5767-0]R=579748; MaxAge=935; Cached=1, Rsp=0.000171;(0.000000)(0.000000)(0.000000)(0.000170)
[3683-0]R=579748; MaxAge=935; Cached=1, Rsp=0.000301;(0.000000)(0.000000)(0.000000)(0.000300)
[9480-0]R=579748; MaxAge=935; Cached=0, Rsp=0.025681;(0.012097)(0.005057)(0.008080)(0.000447)
[3790-0]R=579748; MaxAge=935; Cached=1, Rsp=0.000459;(0.000000)(0.000000)(0.000000)(0.000458)
[631-0]R=579750; MaxAge=979; Cached=1, Rsp=0.000112;(0.000000)(0.000000)(0.000000)(0.000111)
[9480-0]R=579750; MaxAge=979; Cached=0, Rsp=0.025537;(0.012100)(0.005058)(0.008086)(0.000293)
[3790-0]R=579750; MaxAge=979; Cached=1, Rsp=0.000306;(0.000000)(0.000000)(0.000000)(0.000305)
[5767-0]R=579751; MaxAge=961; Cached=1, Rsp=0.000463;(0.000000)(0.000000)(0.000000)(0.000462)
[3683-0]R=579751; MaxAge=961; Cached=1, Rsp=0.000539;(0.000000)(0.000000)(0.000000)(0.000538)
[9480-0]R=579752; MaxAge=944; Cached=0, Rsp=0.025382;(0.012098)(0.005063)(0.008104)(0.000117)
[3790-0]R=579752; MaxAge=944; Cached=1, Rsp=0.000187;(0.000000)(0.000000)(0.000000)(0.000186)
[810-0]R=579754; MaxAge=933; Cached=1, Rsp=0.000182;(0.000000)(0.000000)(0.000000)(0.000181)
[5767-0]R=579754; MaxAge=933; Cached=1, Rsp=0.000428;(0.000000)(0.000000)(0.000000)(0.000427)
[631-0]R=579754; MaxAge=933; Cached=1, Rsp=0.000402;(0.000000)(0.000000)(0.000000)(0.000401)
[3683-0]R=579754; MaxAge=933; Cached=1, Rsp=0.000544;(0.000000)(0.000000)(0.000000)(0.000543)
[9480-0]R=579754; MaxAge=933; Cached=0, Rsp=0.025929;(0.012094)(0.005058)(0.008080)(0.000697)
[3790-0]R=579754; MaxAge=933; Cached=1, Rsp=0.000710;(0.000000)(0.000000)(0.000000)(0.000709)
[9480-0]R=579756; MaxAge=977; Cached=1, Rsp=0.000087;(0.000000)(0.000000)(0.000000)(0.000085)
[9480-0]R=579756; MaxAge=977; Cached=0, Rsp=0.025618;(0.012105)(0.005058)(0.008087)(0.000368)
[3790-0]R=579756; MaxAge=977; Cached=1, Rsp=0.000380;(0.000000)(0.000000)(0.000000)(0.000379)
[5767-0]R=579757; MaxAge=959; Cached=1, Rsp=0.000227;(0.000000)(0.000000)(0.000000)(0.000226)
[3683-0]R=579757; MaxAge=959; Cached=1, Rsp=0.000306;(0.000000)(0.000000)(0.000000)(0.000305)
[810-0]R=579758; MaxAge=942; Cached=1, Rsp=0.000079;(0.000000)(0.000000)(0.000000)(0.000078)
[631-0]R=579758; MaxAge=942; Cached=1, Rsp=0.000237;(0.000000)(0.000000)(0.000000)(0.000236)
[9480-0]R=579758; MaxAge=942; Cached=0, Rsp=0.025648;(0.012116)(0.005057)(0.008082)(0.000393)
[3790-0]R=579758; MaxAge=942; Cached=1, Rsp=0.000406;(0.000000)(0.000000)(0.000000)(0.000405)
[5767-0]R=579760; MaxAge=931; Cached=1, Rsp=0.000184;(0.000000)(0.000000)(0.000000)(0.000183)
[3683-0]R=579760; MaxAge=931; Cached=1, Rsp=0.000309;(0.000000)(0.000000)(0.000000)(0.000308)
[9480-0]R=579760; MaxAge=931; Cached=0, Rsp=0.025708;(0.012097)(0.005059)(0.008097)(0.000455)
[3790-0]R=579760; MaxAge=931; Cached=1, Rsp=0.000465;(0.000000)(0.000000)(0.000000)(0.000464)
[9480-0]R=579761; MaxAge=968; Cached=1, Rsp=0.000246;(0.000000)(0.000000)(0.000000)(0.000245)
[810-0]R=579762; MaxAge=951; Cached=1, Rsp=0.000080;(0.000000)(0.000000)(0.000000)(0.000079)
[631-0]R=579762; MaxAge=951; Cached=1, Rsp=0.000192;(0.000000)(0.000000)(0.000000)(0.000190)
[9480-0]R=579762; MaxAge=951; Cached=0, Rsp=0.025588;(0.012100)(0.005059)(0.008086)(0.000343)
[3790-0]R=579762; MaxAge=951; Cached=1, Rsp=0.000354;(0.000000)(0.000000)(0.000000)(0.000353)
[5767-0]R=579763; MaxAge=933; Cached=1, Rsp=0.000225;(0.000000)(0.000000)(0.000000)(0.000224)
[3683-0]R=579763; MaxAge=933; Cached=1, Rsp=0.000301;(0.000000)(0.000000)(0.000000)(0.000300)
[9480-0]R=579764; MaxAge=970; Cached=0, Rsp=0.025371;(0.012107)(0.005059)(0.008087)(0.000118)
[3790-0]R=579764; MaxAge=970; Cached=1, Rsp=0.000166;(0.000000)(0.000000)(0.000000)(0.000165)
[9265-0]R=579766; MaxAge=960; Cached=1, Rsp=0.000144;(0.000000)(0.000000)(0.000000)(0.000143)
[9480-0]R=579766; MaxAge=960; Cached=1, Rsp=0.000405;(0.000000)(0.000000)(0.000000)(0.000404)
[810-0]R=579766; MaxAge=960; Cached=1, Rsp=0.000547;(0.000000)(0.000000)(0.000000)(0.000545)
[5767-0]R=579766; MaxAge=960; Cached=1, Rsp=0.000716;(0.000000)(0.000000)(0.000000)(0.000715)
[631-0]R=579766; MaxAge=960; Cached=1, Rsp=0.000664;(0.000000)(0.000000)(0.000000)(0.000663)
[3683-0]R=579766; MaxAge=960; Cached=1, Rsp=0.000832;(0.000000)(0.000000)(0.000000)(0.000831)
[9480-0]R=579766; MaxAge=960; Cached=0, Rsp=0.026232;(0.012092)(0.005058)(0.008084)(0.000998)
[3790-0]R=579766; MaxAge=960; Cached=1, Rsp=0.001011;(0.000000)(0.000000)(0.000000)(0.001009)
[9480-0]R=579768; MaxAge=948; Cached=0, Rsp=0.025417;(0.012128)(0.005058)(0.008082)(0.000149)
[3790-0]R=579768; MaxAge=948; Cached=1, Rsp=0.000238;(0.000000)(0.000000)(0.000000)(0.000238)
[5767-0]R=579769; MaxAge=930; Cached=1, Rsp=0.000257;(0.000000)(0.000000)(0.000000)(0.000256)
[3683-0]R=579769; MaxAge=930; Cached=1, Rsp=0.000336;(0.000000)(0.000000)(0.000000)(0.000335)
[810-0]R=579770; MaxAge=967; Cached=1, Rsp=0.000104;(0.000000)(0.000000)(0.000000)(0.000103)
[631-0]R=579770; MaxAge=967; Cached=1, Rsp=0.000215;(0.000000)(0.000000)(0.000000)(0.000213)
[9480-0]R=579770; MaxAge=967; Cached=0, Rsp=0.025652;(0.012101)(0.005057)(0.008087)(0.000407)
[3790-0]R=579770; MaxAge=967; Cached=1, Rsp=0.000420;(0.000000)(0.000000)(0.000000)(0.000419)
[3790-0]R=579771; MaxAge=949; Cached=1, Rsp=0.000240;(0.000000)(0.000000)(0.000000)(0.000239)
[9480-0]R=579771; MaxAge=949; Cached=1, Rsp=0.000388;(0.000000)(0.000000)(0.000000)(0.000387)
[9265-0]R=579772; MaxAge=931; Cached=1, Rsp=0.000121;(0.000000)(0.000000)(0.000000)(0.000120)
[5767-0]R=579772; MaxAge=931; Cached=1, Rsp=0.000296;(0.000000)(0.000000)(0.000000)(0.000295)
[3683-0]R=579772; MaxAge=931; Cached=1, Rsp=0.000385;(0.000000)(0.000000)(0.000000)(0.000383)
[3790-0]R=579772; MaxAge=931; Cached=1, Rsp=0.000698;(0.000000)(0.000000)(0.000000)(0.000697)
[810-0]R=579774; MaxAge=976; Cached=1, Rsp=0.000314;(0.000000)(0.000000)(0.000000)(0.000313)
[631-0]R=579774; MaxAge=976; Cached=1, Rsp=0.000390;(0.000000)(0.000000)(0.000000)(0.000389)
[3790-0]R=579774; MaxAge=976; Cached=1, Rsp=0.000551;(0.000000)(0.000000)(0.000000)(0.000550)
[5767-0]R=579775; MaxAge=958; Cached=1, Rsp=0.000252;(0.000000)(0.000000)(0.000000)(0.000251)
[3683-0]R=579775; MaxAge=958; Cached=1, Rsp=0.000329;(0.000000)(0.000000)(0.000000)(0.000328)
[3790-0]R=579776; MaxAge=940; Cached=1, Rsp=0.000322;(0.000000)(0.000000)(0.000000)(0.000321)
[9480-0]R=579776; MaxAge=940; Cached=1, Rsp=0.000403;(0.000000)(0.000000)(0.000000)(0.000402)
[3790-0]R=579776; MaxAge=940; Cached=1, Rsp=0.000567;(0.000000)(0.000000)(0.000000)(0.000565)
[9265-0]R=579778; MaxAge=929; Cached=1, Rsp=0.000137;(0.000000)(0.000000)(0.000000)(0.000136)
[810-0]R=579778; MaxAge=929; Cached=1, Rsp=0.000307;(0.000000)(0.000000)(0.000000)(0.000305)
[631-0]R=579778; MaxAge=929; Cached=1, Rsp=0.000382;(0.000000)(0.000000)(0.000000)(0.000381)
[5767-0]R=579778; MaxAge=929; Cached=1, Rsp=0.000517;(0.000000)(0.000000)(0.000000)(0.000516)
[3683-0]R=579778; MaxAge=929; Cached=1, Rsp=0.000587;(0.000000)(0.000000)(0.000000)(0.000586)
[3790-0]R=579778; MaxAge=929; Cached=0, Rsp=0.025968;(0.012091)(0.005058)(0.008079)(0.000740)
[3790-0]R=579780; MaxAge=973; Cached=0, Rsp=0.025383;(0.012102)(0.005058)(0.008086)(0.000137)
[3790-0]R=579781; MaxAge=955; Cached=1, Rsp=0.000346;(0.000000)(0.000000)(0.000000)(0.000345)
[9480-0]R=579781; MaxAge=955; Cached=1, Rsp=0.000423;(0.000000)(0.000000)(0.000000)(0.000422)
[5767-0]R=579781; MaxAge=955; Cached=1, Rsp=0.000581;(0.000000)(0.000000)(0.000000)(0.000580)
[3683-0]R=579781; MaxAge=955; Cached=1, Rsp=0.000654;(0.000000)(0.000000)(0.000000)(0.000653)
[810-0]R=579782; MaxAge=937; Cached=1, Rsp=0.000128;(0.000000)(0.000000)(0.000000)(0.000127)
[631-0]R=579782; MaxAge=937; Cached=1, Rsp=0.000236;(0.000000)(0.000000)(0.000000)(0.000235)
