[1-18]R=22; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-14]R=23; MaxAge=500; Cached=0, Rsp=0.520449;(0.012189)(0.500122)(0.008138)
[1-19]R=23; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-17]R=23; MaxAge=23; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-10]R=23; MaxAge=20; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-7]R=23; MaxAge=13; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-20]R=24; MaxAge=500; Cached=0, Rsp=0.520440;(0.012180)(0.500124)(0.008136)
[1-15]R=25; MaxAge=500; Cached=0, Rsp=0.520490;(0.012151)(0.500093)(0.008246)
[1-18]R=25; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-21]R=25; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-11]R=26; MaxAge=500; Cached=0, Rsp=0.520517;(0.012194)(0.500120)(0.008203)
[1-22]R=26; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-19]R=26; MaxAge=22; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-8]R=26; MaxAge=14; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-16]R=27; MaxAge=500; Cached=0, Rsp=0.520505;(0.012193)(0.500071)(0.008241)
[1-23]R=27; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-20]R=28; MaxAge=500; Cached=0, Rsp=0.520548;(0.012190)(0.500122)(0.008236)
[1-24]R=28; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-12]R=28; MaxAge=20; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-17]R=29; MaxAge=500; Cached=0, Rsp=0.520437;(0.012154)(0.500087)(0.008196)
[1-25]R=29; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-21]R=29; MaxAge=16; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-9]R=29; MaxAge=8; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-26]R=30; MaxAge=500; Cached=0, Rsp=0.520534;(0.012176)(0.500121)(0.008237)
[1-18]R=31; MaxAge=500; Cached=0, Rsp=0.520531;(0.012192)(0.500105)(0.008234)
[1-22]R=31; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-13]R=31; MaxAge=500; Cached=1, Rsp=0.000001;(0.000000)(0.000000)(0.000000)
[1-27]R=31; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-28]R=32; MaxAge=500; Cached=0, Rsp=0.520468;(0.012180)(0.500123)(0.008165)
[1-23]R=32; MaxAge=37; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-10]R=32; MaxAge=29; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-19]R=33; MaxAge=500; Cached=0, Rsp=0.520540;(0.012190)(0.500121)(0.008229)
[1-29]R=33; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-14]R=33; MaxAge=15; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-24]R=34; MaxAge=500; Cached=0, Rsp=0.520529;(0.012174)(0.500125)(0.008230)
[1-30]R=34; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-20]R=35; MaxAge=500; Cached=0, Rsp=0.520543;(0.012186)(0.500120)(0.008237)
[1-31]R=35; MaxAge=500; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-25]R=35; MaxAge=16; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-11]R=35; MaxAge=9; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-15]R=36; MaxAge=500; Cached=0, Rsp=0.520470;(0.012165)(0.500072)(0.008233)
[1-32]R=36; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-21]R=37; MaxAge=500; Cached=0, Rsp=0.520554;(0.012205)(0.500103)(0.008246)
[1-26]R=37; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-33]R=37; MaxAge=500; Cached=1, Rsp=0.000001;(0.000000)(0.000000)(0.000000)
[1-34]R=38; MaxAge=500; Cached=0, Rsp=0.520446;(0.012173)(0.500109)(0.008164)
[1-16]R=38; MaxAge=40; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-27]R=38; MaxAge=40; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-12]R=38; MaxAge=34; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-22]R=39; MaxAge=500; Cached=0, Rsp=0.520521;(0.012155)(0.500108)(0.008258)
[1-35]R=39; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-28]R=40; MaxAge=500; Cached=0, Rsp=0.520504;(0.012135)(0.500126)(0.008243)
[1-36]R=40; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-23]R=41; MaxAge=500; Cached=0, Rsp=0.520496;(0.012135)(0.500119)(0.008242)
[1-17]R=41; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-29]R=41; MaxAge=16; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-13]R=41; MaxAge=11; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-24]R=42; MaxAge=500; Cached=0, Rsp=0.520508;(0.012173)(0.500120)(0.008215)
[1-30]R=42; MaxAge=500; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-18]R=42; MaxAge=18; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-31]R=43; MaxAge=500; Cached=0, Rsp=0.520456;(0.012188)(0.500103)(0.008165)
[1-14]R=43; MaxAge=500; Cached=1, Rsp=0.000001;(0.000000)(0.000000)(0.000000)
[1-25]R=43; MaxAge=26; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-19]R=44; MaxAge=500; Cached=0, Rsp=0.520494;(0.012213)(0.500086)(0.008195)
[1-32]R=44; MaxAge=500; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-26]R=45; MaxAge=500; Cached=0, Rsp=0.520518;(0.012177)(0.500104)(0.008237)
[1-33]R=45; MaxAge=16; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-15]R=45; MaxAge=12; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-20]R=46; MaxAge=500; Cached=0, Rsp=0.520460;(0.012194)(0.500105)(0.008161)
[1-27]R=46; MaxAge=22; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-34]R=46; MaxAge=18; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-35]R=47; MaxAge=500; Cached=0, Rsp=0.520535;(0.012174)(0.500125)(0.008236)
[1-16]R=47; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-28]R=47; MaxAge=25; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-21]R=47; MaxAge=24; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-36]R=48; MaxAge=500; Cached=0, Rsp=0.520554;(0.012190)(0.500126)(0.008238)
[1-29]R=49; MaxAge=500; Cached=0, Rsp=0.520544;(0.012195)(0.500120)(0.008229)
[1-22]R=49; MaxAge=20; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-17]R=49; MaxAge=13; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-30]R=50; MaxAge=500; Cached=0, Rsp=0.520549;(0.012193)(0.500123)(0.008233)
[1-23]R=51; MaxAge=500; Cached=0, Rsp=0.520486;(0.012197)(0.500109)(0.008180)
[1-18]R=51; MaxAge=14; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-31]R=52; MaxAge=500; Cached=0, Rsp=0.520496;(0.012171)(0.500121)(0.008204)
[1-24]R=53; MaxAge=500; Cached=0, Rsp=0.520563;(0.012219)(0.500106)(0.008238)
[1-32]R=53; MaxAge=21; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-19]R=54; MaxAge=500; Cached=0, Rsp=0.520551;(0.012195)(0.500104)(0.008252)
[1-25]R=55; MaxAge=500; Cached=0, Rsp=0.520490;(0.012138)(0.500110)(0.008242)
