[9127-0]R=579781; MaxAge=955; Cached=1, Rsp=0.000625;(0.000000)(0.000000)(0.000000)(0.000624)
[9127-0]R=579784; MaxAge=982; Cached=1, Rsp=0.000746;(0.000000)(0.000000)(0.000000)(0.000745)
[9127-0]R=579787; MaxAge=952; Cached=1, Rsp=0.000330;(0.000000)(0.000000)(0.000000)(0.000329)
[6944-0]R=579790; MaxAge=979; Cached=1, Rsp=0.000927;(0.000000)(0.000000)(0.000000)(0.000926)
[9127-0]R=579790; MaxAge=979; Cached=1, Rsp=0.000913;(0.000000)(0.000000)(0.000000)(0.000912)
[6944-0]R=579792; MaxAge=943; Cached=1, Rsp=0.000215;(0.000000)(0.000000)(0.000000)(0.000214)
[9127-0]R=579792; MaxAge=6; Cached=1, Rsp=0.000331;(0.000000)(0.000000)(0.000000)(0.000329)
[9127-0]R=579794; MaxAge=932; Cached=1, Rsp=0.000086;(0.000000)(0.000000)(0.000000)(0.000085)
[6944-0]R=579794; MaxAge=932; Cached=1, Rsp=0.000360;(0.000000)(0.000000)(0.000000)(0.000359)
[9127-0]R=579796; MaxAge=976; Cached=1, Rsp=0.000406;(0.000000)(0.000000)(0.000000)(0.000404)
[6944-0]R=579796; MaxAge=976; Cached=1, Rsp=0.000611;(0.000000)(0.000000)(0.000000)(0.000610)
[9127-0]R=579798; MaxAge=965; Cached=1, Rsp=0.000088;(0.000000)(0.000000)(0.000000)(0.000087)
[6944-0]R=579798; MaxAge=965; Cached=1, Rsp=0.000293;(0.000000)(0.000000)(0.000000)(0.000291)
[9127-0]R=579799; MaxAge=947; Cached=1, Rsp=0.000280;(0.000000)(0.000000)(0.000000)(0.000279)
[6944-0]R=579800; MaxAge=930; Cached=1, Rsp=0.000076;(0.000000)(0.000000)(0.000000)(0.000074)
[9127-0]R=579802; MaxAge=949; Cached=1, Rsp=0.000212;(0.000000)(0.000000)(0.000000)(0.000211)
[9127-0]R=579802; MaxAge=949; Cached=1, Rsp=0.000435;(0.000000)(0.000000)(0.000000)(0.000434)
[6944-0]R=579802; MaxAge=949; Cached=1, Rsp=0.000580;(0.000000)(0.000000)(0.000000)(0.000579)
[6944-0]R=579804; MaxAge=938; Cached=1, Rsp=0.000071;(0.000000)(0.000000)(0.000000)(0.000069)
[9127-0]R=579804; MaxAge=1; Cached=1, Rsp=0.000255;(0.000000)(0.000000)(0.000000)(0.000254)
[9127-0]R=579806; MaxAge=982; Cached=1, Rsp=0.000418;(0.000000)(0.000000)(0.000000)(0.000416)
[6944-0]R=579806; MaxAge=927; Cached=1, Rsp=0.000114;(0.000000)(0.000000)(0.000000)(0.000113)
[6285-0]R=579806; MaxAge=927; Cached=1, Rsp=0.000151;(0.000000)(0.000000)(0.000000)(0.000150)
[9127-0]R=579808; MaxAge=972; Cached=1, Rsp=0.000249;(0.000000)(0.000000)(0.000000)(0.000248)
[6944-0]R=579808; MaxAge=972; Cached=1, Rsp=0.000419;(0.000000)(0.000000)(0.000000)(0.000418)
[6285-0]R=579808; MaxAge=972; Cached=1, Rsp=0.000463;(0.000000)(0.000000)(0.000000)(0.000462)
[9127-0]R=579810; MaxAge=961; Cached=1, Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000081)
[6944-0]R=579810; MaxAge=961; Cached=1, Rsp=0.000289;(0.000000)(0.000000)(0.000000)(0.000288)
[6285-0]R=579810; MaxAge=961; Cached=1, Rsp=0.000335;(0.000000)(0.000000)(0.000000)(0.000334)
[130-0]R=579811; MaxAge=943; Cached=1, Rsp=0.000416;(0.000000)(0.000000)(0.000000)(0.000415)
[9127-0]R=579811; MaxAge=943; Cached=1, Rsp=0.000673;(0.000000)(0.000000)(0.000000)(0.000672)
[4531-0]R=579811; MaxAge=943; Cached=1, Rsp=0.000676;(0.000000)(0.000000)(0.000000)(0.000675)
[6944-0]R=579811; MaxAge=6; Cached=1, Rsp=0.000070;(0.000000)(0.000000)(0.000000)(0.000069)
[6285-0]R=579811; MaxAge=6; Cached=1, Rsp=0.000158;(0.000000)(0.000000)(0.000000)(0.000157)
[9127-0]R=579814; MaxAge=940; Cached=1, Rsp=0.000220;(0.000000)(0.000000)(0.000000)(0.000219)
[9127-0]R=579814; MaxAge=940; Cached=1, Rsp=0.000436;(0.000000)(0.000000)(0.000000)(0.000435)
[6944-0]R=579814; MaxAge=940; Cached=1, Rsp=0.000565;(0.000000)(0.000000)(0.000000)(0.000563)
[6285-0]R=579814; MaxAge=940; Cached=1, Rsp=0.000624;(0.000000)(0.000000)(0.000000)(0.000623)
[4531-0]R=579814; MaxAge=940; Cached=1, Rsp=0.000572;(0.000000)(0.000000)(0.000000)(0.000571)
[130-0]R=579816; MaxAge=929; Cached=1, Rsp=0.000078;(0.000000)(0.000000)(0.000000)(0.000077)
[6944-0]R=579816; MaxAge=929; Cached=1, Rsp=0.000314;(0.000000)(0.000000)(0.000000)(0.000312)
[6285-0]R=579816; MaxAge=929; Cached=1, Rsp=0.000343;(0.000000)(0.000000)(0.000000)(0.000342)
[9127-0]R=579817; MaxAge=966; Cached=1, Rsp=0.000314;(0.000000)(0.000000)(0.000000)(0.000313)
[4531-0]R=579817; MaxAge=966; Cached=1, Rsp=0.000320;(0.000000)(0.000000)(0.000000)(0.000319)
[9127-0]R=579818; MaxAge=948; Cached=1, Rsp=0.000083;(0.000000)(0.000000)(0.000000)(0.000082)
[6944-0]R=579818; MaxAge=948; Cached=1, Rsp=0.000288;(0.000000)(0.000000)(0.000000)(0.000287)
[6285-0]R=579818; MaxAge=948; Cached=1, Rsp=0.000332;(0.000000)(0.000000)(0.000000)(0.000331)
[9127-0]R=579820; MaxAge=937; Cached=1, Rsp=0.000225;(0.000000)(0.000000)(0.000000)(0.000224)
[6944-0]R=579820; MaxAge=937; Cached=1, Rsp=0.000391;(0.000000)(0.000000)(0.000000)(0.000390)
[6285-0]R=579820; MaxAge=937; Cached=1, Rsp=0.000438;(0.000000)(0.000000)(0.000000)(0.000437)
[4531-0]R=579820; MaxAge=937; Cached=1, Rsp=0.000398;(0.000000)(0.000000)(0.000000)(0.000397)
[130-0]R=579821; MaxAge=974; Cached=1, Rsp=0.000321;(0.000000)(0.000000)(0.000000)(0.000319)
[9127-0]R=579822; MaxAge=956; Cached=1, Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000081)
[6944-0]R=579822; MaxAge=956; Cached=1, Rsp=0.000291;(0.000000)(0.000000)(0.000000)(0.000290)
[4531-0]R=579822; MaxAge=956; Cached=1, Rsp=0.000173;(0.000000)(0.000000)(0.000000)(0.000172)
[6285-0]R=579822; MaxAge=956; Cached=1, Rsp=0.000429;(0.000000)(0.000000)(0.000000)(0.000428)
[9127-0]R=579823; MaxAge=938; Cached=1, Rsp=0.000093;(0.000000)(0.000000)(0.000000)(0.000092)
[4531-0]R=579823; MaxAge=938; Cached=1, Rsp=0.000141;(0.000000)(0.000000)(0.000000)(0.000140)
[6944-0]R=579823; MaxAge=1; Cached=1, Rsp=0.000067;(0.000000)(0.000000)(0.000000)(0.000066)
[6285-0]R=579823; MaxAge=1; Cached=1, Rsp=0.000149;(0.000000)(0.000000)(0.000000)(0.000148)
[130-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000230;(0.000000)(0.000000)(0.000000)(0.000228)
[9127-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000434;(0.000000)(0.000000)(0.000000)(0.000433)
[9127-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000601;(0.000000)(0.000000)(0.000000)(0.000600)
[6944-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000698;(0.000000)(0.000000)(0.000000)(0.000696)
[4531-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000534;(0.000000)(0.000000)(0.000000)(0.000533)
[6285-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000783;(0.000000)(0.000000)(0.000000)(0.000782)
[4531-0]R=579826; MaxAge=936; Cached=1, Rsp=0.000763;(0.000000)(0.000000)(0.000000)(0.000762)
[6944-0]R=579828; MaxAge=980; Cached=1, Rsp=0.000066;(0.000000)(0.000000)(0.000000)(0.000065)
[6285-0]R=579828; MaxAge=980; Cached=1, Rsp=0.000150;(0.000000)(0.000000)(0.000000)(0.000148)
[9127-0]R=579829; MaxAge=962; Cached=1, Rsp=0.000087;(0.000000)(0.000000)(0.000000)(0.000086)
[4531-0]R=579829; MaxAge=962; Cached=1, Rsp=0.000141;(0.000000)(0.000000)(0.000000)(0.000140)
[9127-0]R=579830; MaxAge=944; Cached=1, Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000081)
[6944-0]R=579830; MaxAge=944; Cached=1, Rsp=0.000309;(0.000000)(0.000000)(0.000000)(0.000308)
[4531-0]R=579830; MaxAge=944; Cached=1, Rsp=0.000206;(0.000000)(0.000000)(0.000000)(0.000205)
[6285-0]R=579830; MaxAge=944; Cached=1, Rsp=0.000381;(0.000000)(0.000000)(0.000000)(0.000380)
[130-0]R=579830; MaxAge=7; Cached=1, Rsp=0.000322;(0.000000)(0.000000)(0.000000)(0.000321)
[9250-0]R=579830; MaxAge=7; Cached=1, Rsp=0.000328;(0.000000)(0.000000)(0.000000)(0.000327)
[9127-0]R=579832; MaxAge=934; Cached=1, Rsp=0.000222;(0.000000)(0.000000)(0.000000)(0.000221)
