[0-100000]R=5414; MaxAge=100; Cached=0, Rsp=0.100109, 804.605654, 804.705763
[0-100000]R=5415; MaxAge=100; Cached=0, Rsp=0.100131, 805.203853, 805.303984
[0-100000]R=5416; MaxAge=100; Cached=0, Rsp=0.100102, 805.525748, 805.625850
[0-100000]R=5417; MaxAge=100; Cached=0, Rsp=0.100132, 806.013591, 806.113723
[0-100000]R=5418; MaxAge=100; Cached=0, Rsp=0.100112, 806.445738, 806.545850
[0-100000]R=5419; MaxAge=100; Cached=0, Rsp=0.100130, 806.822917, 806.923047
[0-100000]R=5420; MaxAge=100; Cached=0, Rsp=0.100128, 807.311053, 807.411181
[0-100000]R=5421; MaxAge=100; Cached=0, Rsp=0.100132, 807.633051, 807.733183
[0-100000]R=5422; MaxAge=100; Cached=0, Rsp=0.100126, 808.120511, 808.220637
[0-100000]R=5423; MaxAge=100; Cached=0, Rsp=0.100107, 808.442767, 808.542874
[0-100000]R=5424; MaxAge=100; Cached=0, Rsp=0.100125, 809.040923, 809.141048
[0-100000]R=5425; MaxAge=100; Cached=0, Rsp=0.100132, 809.418290, 809.518422
[0-100000]R=5426; MaxAge=100; Cached=0, Rsp=0.100130, 809.850855, 809.950985
[0-100000]R=5427; MaxAge=100; Cached=0, Rsp=0.100127, 810.614831, 810.714958
[0-100000]R=5428; MaxAge=100; Cached=0, Rsp=0.100166, 811.434720, 811.534886
[0-100000]R=5429; MaxAge=100; Cached=0, Rsp=0.100132, 811.922831, 812.022963
[0-100000]R=5430; MaxAge=100; Cached=0, Rsp=0.100116, 812.244776, 812.344892
[0-100000]R=5431; MaxAge=100; Cached=0, Rsp=0.100131, 813.008526, 813.108657
[0-100000]R=5432; MaxAge=100; Cached=0, Rsp=0.100131, 813.717581, 813.817712
[0-100000]R=5433; MaxAge=100; Cached=0, Rsp=0.100133, 814.315975, 814.416108
[0-100000]R=5434; MaxAge=100; Cached=0, Rsp=0.100129, 814.638076, 814.738205
[0-100000]R=5435; MaxAge=100; Cached=0, Rsp=0.100113, 815.125724, 815.225837
[0-100000]R=5436; MaxAge=100; Cached=0, Rsp=0.100109, 815.502900, 815.603009
[0-100000]R=5437; MaxAge=100; Cached=0, Rsp=0.100131, 815.935063, 816.035194
[0-100000]R=5438; MaxAge=100; Cached=0, Rsp=0.100113, 816.422696, 816.522809
[0-100000]R=5439; MaxAge=100; Cached=0, Rsp=0.100131, 816.744448, 816.844579
[0-100000]R=5440; MaxAge=100; Cached=0, Rsp=0.100115, 817.342756, 817.442871
[0-100000]R=5441; MaxAge=100; Cached=0, Rsp=0.100111, 818.051723, 818.151834
