[22567-800]R=5364; MaxAge=100; Cached=0, Rsp=0.101183, 0.000000, 781.702538
[22567-800]R=5366; MaxAge=100; Cached=0, Rsp=0.100714, 0.000000, 782.511576
[22567-800]R=5368; MaxAge=100; Cached=0, Rsp=0.101018, 0.000000, 783.321104
[22567-800]R=5370; MaxAge=100; Cached=0, Rsp=0.101009, 0.000000, 784.130418
[22567-800]R=5371; MaxAge=100; Cached=0, Rsp=0.100954, 0.000000, 784.728673
[22567-800]R=5373; MaxAge=100; Cached=0, Rsp=0.101124, 0.000000, 785.538359
[22567-800]R=5374; MaxAge=100; Cached=0, Rsp=0.100725, 0.000000, 786.302159
[22567-800]R=5375; MaxAge=100; Cached=0, Rsp=0.100824, 0.000000, 787.010937
[22567-800]R=5376; MaxAge=100; Cached=0, Rsp=0.100920, 0.000000, 787.609474
[22567-800]R=5378; MaxAge=100; Cached=0, Rsp=0.100574, 0.000000, 788.418911
[22567-800]R=5380; MaxAge=100; Cached=0, Rsp=0.100649, 0.000000, 789.228422
[22567-800]R=5382; MaxAge=100; Cached=0, Rsp=0.100655, 0.000000, 790.037652
[22567-800]R=5383; MaxAge=100; Cached=0, Rsp=0.100970, 0.000000, 790.635819
[22567-800]R=5384; MaxAge=100; Cached=0, Rsp=0.100765, 0.000000, 791.344542
[22567-800]R=5386; MaxAge=100; Cached=0, Rsp=0.101003, 0.000000, 792.154490
[22567-800]R=5388; MaxAge=100; Cached=0, Rsp=0.100942, 0.000000, 792.909291
[22567-800]R=5389; MaxAge=100; Cached=0, Rsp=0.100977, 0.000000, 793.617932
[22567-800]R=5391; MaxAge=100; Cached=0, Rsp=0.100911, 0.000000, 794.427651
[22567-800]R=5393; MaxAge=100; Cached=0, Rsp=0.102000, 0.000000, 795.238218
[22567-800]R=5394; MaxAge=100; Cached=0, Rsp=0.100954, 0.000000, 796.001423
[22567-800]R=5395; MaxAge=100; Cached=0, Rsp=0.101126, 0.000000, 796.655103
[22567-800]R=5397; MaxAge=100; Cached=0, Rsp=0.101216, 0.000000, 797.354817
[22567-800]R=5399; MaxAge=100; Cached=0, Rsp=0.101100, 0.000000, 798.109487
[22567-800]R=5401; MaxAge=100; Cached=0, Rsp=0.101102, 0.000000, 798.919230
[22567-800]R=5402; MaxAge=100; Cached=0, Rsp=0.100979, 0.000000, 799.517198
[22567-800]R=5404; MaxAge=100; Cached=0, Rsp=0.101150, 0.000000, 800.326755
[22567-800]R=5405; MaxAge=100; Cached=0, Rsp=0.101136, 0.000000, 800.925123
[22567-800]R=5407; MaxAge=100; Cached=0, Rsp=0.101035, 0.000000, 801.734519
[22567-800]R=5409; MaxAge=100; Cached=0, Rsp=0.101064, 0.000000, 802.544316
[22567-800]R=5411; MaxAge=100; Cached=0, Rsp=0.101113, 0.000000, 803.354089
[22567-800]R=5412; MaxAge=100; Cached=0, Rsp=0.101325, 0.000000, 803.952435
[22567-800]R=5414; MaxAge=100; Cached=0, Rsp=0.101128, 0.000000, 804.706532
[22567-800]R=5415; MaxAge=100; Cached=0, Rsp=0.101202, 0.000000, 805.304798
[22567-800]R=5417; MaxAge=100; Cached=0, Rsp=0.100828, 0.000000, 806.114168
[22567-800]R=5419; MaxAge=100; Cached=0, Rsp=0.101768, 0.000000, 806.924436
[22567-800]R=5421; MaxAge=100; Cached=0, Rsp=0.100835, 0.000000, 807.733644
