[22553-2300]R=5387; MaxAge=100; Cached=1, Rsp=0.000173, 0.000000, 792.642750
[22553-2300]R=5391; MaxAge=100; Cached=1, Rsp=0.000482, 0.000000, 794.428092
[22553-2300]R=5395; MaxAge=100; Cached=1, Rsp=0.000280, 0.000000, 796.655286
[22553-2300]R=5400; MaxAge=100; Cached=1, Rsp=0.000291, 0.000000, 798.652567
[22553-2300]R=5405; MaxAge=100; Cached=1, Rsp=0.000168, 0.000000, 800.925196
[22553-2300]R=5410; MaxAge=100; Cached=1, Rsp=0.000099, 0.000000, 803.032041
[22553-2300]R=5415; MaxAge=100; Cached=1, Rsp=0.000165, 0.000000, 805.304678
[22553-2300]R=5420; MaxAge=100; Cached=1, Rsp=0.000172, 0.000000, 807.411891
[22553-2300]R=5425; MaxAge=100; Cached=1, Rsp=0.000273, 0.000000, 809.519235
[22553-2300]R=5428; MaxAge=100; Cached=1, Rsp=0.000275, 0.000000, 811.535953
[22553-2300]R=5432; MaxAge=100; Cached=1, Rsp=0.000256, 0.000000, 813.818630
[22553-2300]R=5436; MaxAge=100; Cached=1, Rsp=0.000062, 0.000000, 815.603442
[22553-2300]R=5440; MaxAge=100; Cached=1, Rsp=0.000270, 0.000000, 817.443803
[22553-2300]R=5443; MaxAge=100; Cached=1, Rsp=0.000154, 0.000000, 819.349063
[22553-2300]R=5446; MaxAge=100; Cached=1, Rsp=0.000365, 0.000000, 821.254670
[22553-2300]R=5450; MaxAge=100; Cached=1, Rsp=0.000190, 0.000000, 823.536816
[22553-2300]R=5454; MaxAge=100; Cached=1, Rsp=0.000168, 0.000000, 825.321917
[22553-2300]R=5458; MaxAge=100; Cached=1, Rsp=0.000181, 0.000000, 827.107128
[22553-2300]R=5461; MaxAge=100; Cached=1, Rsp=0.000143, 0.000000, 829.122678
[22553-2300]R=5464; MaxAge=100; Cached=1, Rsp=0.000375, 0.000000, 831.139011
[22553-2300]R=5467; MaxAge=100; Cached=0, Rsp=0.100696, 0.000000, 833.430155
[22553-2300]R=5471; MaxAge=100; Cached=0, Rsp=0.100971, 0.000000, 835.711876
[22553-2300]R=5474; MaxAge=100; Cached=1, Rsp=0.000192, 0.000000, 838.003130
[22553-2300]R=5476; MaxAge=100; Cached=1, Rsp=0.000196, 0.000000, 839.806966
[22553-2300]R=5478; MaxAge=100; Cached=0, Rsp=0.101217, 0.000000, 842.052443
