[22559-1800]R=5378; MaxAge=100; Cached=1, Rsp=0.000068, 0.000000, 788.418903
[22559-1800]R=5382; MaxAge=100; Cached=1, Rsp=0.000079, 0.000000, 790.037826
[22559-1800]R=5385; MaxAge=100; Cached=0, Rsp=0.100836, 0.000000, 791.832526
[22559-1800]R=5389; MaxAge=100; Cached=1, Rsp=0.000415, 0.000000, 793.618388
[22559-1800]R=5393; MaxAge=100; Cached=1, Rsp=0.000740, 0.000000, 795.237975
[22559-1800]R=5395; MaxAge=100; Cached=1, Rsp=0.000262, 0.000000, 796.655158
[22559-1800]R=5399; MaxAge=100; Cached=1, Rsp=0.000181, 0.000000, 798.109339
[22559-1800]R=5402; MaxAge=100; Cached=1, Rsp=0.000257, 0.000000, 799.517387
[22559-1800]R=5405; MaxAge=100; Cached=1, Rsp=0.000407, 0.000000, 800.925324
[22559-1800]R=5409; MaxAge=100; Cached=1, Rsp=0.000205, 0.000000, 802.544168
[22559-1800]R=5412; MaxAge=100; Cached=1, Rsp=0.000179, 0.000000, 803.952208
[22559-1800]R=5415; MaxAge=100; Cached=1, Rsp=0.000275, 0.000000, 805.304665
[22559-1800]R=5419; MaxAge=100; Cached=1, Rsp=0.000628, 0.000000, 806.924317
[22559-1800]R=5423; MaxAge=100; Cached=1, Rsp=0.000177, 0.000000, 808.543459
[22559-1800]R=5426; MaxAge=100; Cached=1, Rsp=0.000179, 0.000000, 809.951704
[22559-1800]R=5428; MaxAge=100; Cached=1, Rsp=0.000644, 0.000000, 811.536216
[22559-1800]R=5431; MaxAge=100; Cached=1, Rsp=0.000266, 0.000000, 813.109653
[22559-1800]R=5434; MaxAge=100; Cached=1, Rsp=0.000189, 0.000000, 814.738839
[22559-1800]R=5438; MaxAge=100; Cached=1, Rsp=0.000173, 0.000000, 816.523398
[22559-1800]R=5441; MaxAge=100; Cached=1, Rsp=0.000165, 0.000000, 818.152748
[22559-1800]R=5444; MaxAge=100; Cached=1, Rsp=0.000052, 0.000000, 819.615600
[22559-1800]R=5446; MaxAge=100; Cached=1, Rsp=0.000719, 0.000000, 821.254810
[22559-1800]R=5449; MaxAge=100; Cached=1, Rsp=0.000185, 0.000000, 822.828368
[22559-1800]R=5452; MaxAge=100; Cached=1, Rsp=0.000524, 0.000000, 824.402097
[22559-1800]R=5456; MaxAge=100; Cached=1, Rsp=0.000298, 0.000000, 826.242217
[22559-1800]R=5459; MaxAge=100; Cached=1, Rsp=0.000386, 0.000000, 827.816098
[22559-1800]R=5462; MaxAge=100; Cached=1, Rsp=0.000493, 0.000000, 829.444797
[22559-1800]R=5464; MaxAge=100; Cached=1, Rsp=0.000674, 0.000000, 831.139083
[22559-1800]R=5466; MaxAge=100; Cached=1, Rsp=0.000243, 0.000000, 832.611553
[22559-1800]R=5469; MaxAge=100; Cached=0, Rsp=0.100941, 0.000000, 834.405259
