[22562-1300]R=5372; MaxAge=100; Cached=0, Rsp=0.100737, 0.000000, 785.216329
[22562-1300]R=5374; MaxAge=100; Cached=1, Rsp=0.000426, 0.000000, 786.302662
[22562-1300]R=5376; MaxAge=100; Cached=1, Rsp=0.000502, 0.000000, 787.609842
[22562-1300]R=5379; MaxAge=100; Cached=1, Rsp=0.000497, 0.000000, 788.851622
[22562-1300]R=5382; MaxAge=100; Cached=1, Rsp=0.000298, 0.000000, 790.037924
[22562-1300]R=5384; MaxAge=100; Cached=1, Rsp=0.000228, 0.000000, 791.344855
[22562-1300]R=5387; MaxAge=100; Cached=0, Rsp=0.100908, 0.000000, 792.642227
[22562-1300]R=5389; MaxAge=100; Cached=1, Rsp=0.000658, 0.000000, 793.618521
[22562-1300]R=5392; MaxAge=100; Cached=0, Rsp=0.100905, 0.000000, 794.915328
[22562-1300]R=5394; MaxAge=100; Cached=1, Rsp=0.000135, 0.000000, 796.001492
[22562-1300]R=5397; MaxAge=100; Cached=1, Rsp=0.000164, 0.000000, 797.354680
[22562-1300]R=5400; MaxAge=100; Cached=1, Rsp=0.000171, 0.000000, 798.652213
[22562-1300]R=5403; MaxAge=100; Cached=0, Rsp=0.100667, 0.000000, 799.949362
[22562-1300]R=5405; MaxAge=100; Cached=1, Rsp=0.000186, 0.000000, 800.924976
[22562-1300]R=5408; MaxAge=100; Cached=1, Rsp=0.000396, 0.000000, 802.111883
[22562-1300]R=5411; MaxAge=100; Cached=1, Rsp=0.000189, 0.000000, 803.353955
[22562-1300]R=5413; MaxAge=100; Cached=0, Rsp=0.100661, 0.000000, 804.439617
[22562-1300]R=5416; MaxAge=100; Cached=1, Rsp=0.000223, 0.000000, 805.626473
[22562-1300]R=5419; MaxAge=100; Cached=1, Rsp=0.000736, 0.000000, 806.924195
[22562-1300]R=5422; MaxAge=100; Cached=1, Rsp=0.000481, 0.000000, 808.221510
[22562-1300]R=5425; MaxAge=100; Cached=0, Rsp=0.100969, 0.000000, 809.519021
[22562-1300]R=5427; MaxAge=100; Cached=1, Rsp=0.000343, 0.000000, 810.715833
[22562-1300]R=5429; MaxAge=100; Cached=0, Rsp=0.100837, 0.000000, 812.023418
[22562-1300]R=5431; MaxAge=100; Cached=1, Rsp=0.000639, 0.000000, 813.109815
[22562-1300]R=5433; MaxAge=100; Cached=1, Rsp=0.000194, 0.000000, 814.416707
[22562-1300]R=5436; MaxAge=100; Cached=1, Rsp=0.000080, 0.000000, 815.603336
[22562-1300]R=5439; MaxAge=100; Cached=1, Rsp=0.000196, 0.000000, 816.845219
[22562-1300]R=5441; MaxAge=100; Cached=1, Rsp=0.000513, 0.000000, 818.152882
[22562-1300]R=5443; MaxAge=100; Cached=0, Rsp=0.100856, 0.000000, 819.348722
[22562-1300]R=5445; MaxAge=100; Cached=1, Rsp=0.000291, 0.000000, 820.435201
[22562-1300]R=5447; MaxAge=100; Cached=0, Rsp=0.100750, 0.000000, 821.742079
[22562-1300]R=5449; MaxAge=100; Cached=1, Rsp=0.000137, 0.000000, 822.828103
[22562-1300]R=5451; MaxAge=100; Cached=1, Rsp=0.000168, 0.000000, 824.134880
[22562-1300]R=5454; MaxAge=100; Cached=1, Rsp=0.000184, 0.000000, 825.321698
[22562-1300]R=5457; MaxAge=100; Cached=1, Rsp=0.000541, 0.000000, 826.509243
[22562-1300]R=5459; MaxAge=100; Cached=1, Rsp=0.000186, 0.000000, 827.815665
[22562-1300]R=5461; MaxAge=100; Cached=0, Rsp=0.100684, 0.000000, 829.122505
[22562-1300]R=5463; MaxAge=100; Cached=1, Rsp=0.000183, 0.000000, 830.208787
[22562-1300]R=5465; MaxAge=100; Cached=0, Rsp=0.100826, 0.000000, 831.515925
[22562-1300]R=5466; MaxAge=100; Cached=0, Rsp=0.100784, 0.000000, 832.611230
