[0-0]R=5346; MaxAge=100; Cached=0, Rsp=0.100520, 769.010783, 769.111303
[0-100000]R=5347; MaxAge=100; Cached=0, Rsp=0.100522, 771.928480, 772.029002
[0-100000]R=5347; MaxAge=100; Cached=1, Rsp=0.000008, 772.029069, 772.029077
[0-100000]R=5347; MaxAge=100; Cached=1, Rsp=0.000005, 772.029115, 772.029120
[0-100000]R=5347; MaxAge=100; Cached=1, Rsp=0.000005, 772.029154, 772.029159
[0-100000]R=5347; MaxAge=100; Cached=1, Rsp=0.000004, 772.029193, 772.029197
[0-100000]R=5347; MaxAge=100; Cached=1, Rsp=0.000005, 772.029230, 772.029235
[0-100000]R=5348; MaxAge=100; Cached=0, Rsp=0.100620, 773.355093, 773.455713
[0-100000]R=5348; MaxAge=100; Cached=1, Rsp=0.000019, 773.455880, 773.455899
[0-100000]R=5348; MaxAge=100; Cached=1, Rsp=0.000013, 773.456000, 773.456013
[0-100000]R=5348; MaxAge=100; Cached=1, Rsp=0.000012, 773.456108, 773.456120
[0-100000]R=5349; MaxAge=100; Cached=0, Rsp=0.100614, 773.842867, 773.943481
[0-100000]R=5349; MaxAge=100; Cached=1, Rsp=0.000020, 773.943651, 773.943671
[0-100000]R=5349; MaxAge=100; Cached=1, Rsp=0.000013, 773.943774, 773.943787
[0-100000]R=5350; MaxAge=100; Cached=0, Rsp=0.100775, 774.220067, 774.320842
[0-100000]R=5350; MaxAge=100; Cached=1, Rsp=0.000015, 774.320988, 774.321003
[0-100000]R=5350; MaxAge=100; Cached=1, Rsp=0.000013, 774.321101, 774.321114
[0-100000]R=5350; MaxAge=45; Cached=1, Rsp=0.000043, 774.376440, 774.376483
[0-100000]R=5351; MaxAge=100; Cached=0, Rsp=0.100477, 774.652913, 774.753390
[0-100000]R=5351; MaxAge=100; Cached=1, Rsp=0.000011, 774.753480, 774.753491
[0-100000]R=5352; MaxAge=100; Cached=0, Rsp=0.100531, 775.029767, 775.130298
[0-100000]R=5352; MaxAge=100; Cached=1, Rsp=0.000017, 775.130384, 775.130401
[0-100000]R=5352; MaxAge=100; Cached=1, Rsp=0.000013, 775.130510, 775.130523
