[22556-1400]R=5372; MaxAge=100; Cached=1, Rsp=0.000095, 0.000000, 785.216319
[22556-1400]R=5374; MaxAge=100; Cached=1, Rsp=0.000159, 0.000000, 786.302531
[22556-1400]R=5376; MaxAge=100; Cached=1, Rsp=0.000175, 0.000000, 787.609956
[22556-1400]R=5379; MaxAge=100; Cached=1, Rsp=0.000238, 0.000000, 788.851485
[22556-1400]R=5382; MaxAge=100; Cached=1, Rsp=0.000162, 0.000000, 790.037852
[22556-1400]R=5384; MaxAge=100; Cached=1, Rsp=0.000334, 0.000000, 791.345068
[22556-1400]R=5387; MaxAge=100; Cached=1, Rsp=0.000541, 0.000000, 792.642636
[22556-1400]R=5390; MaxAge=100; Cached=0, Rsp=0.100875, 0.000000, 794.050679
[22556-1400]R=5393; MaxAge=100; Cached=1, Rsp=0.000164, 0.000000, 795.237293
[22556-1400]R=5395; MaxAge=100; Cached=1, Rsp=0.000179, 0.000000, 796.654952
[22556-1400]R=5398; MaxAge=100; Cached=1, Rsp=0.000547, 0.000000, 797.842647
[22556-1400]R=5401; MaxAge=100; Cached=1, Rsp=0.000172, 0.000000, 798.919095
[22556-1400]R=5404; MaxAge=100; Cached=1, Rsp=0.000763, 0.000000, 800.327309
[22556-1400]R=5407; MaxAge=100; Cached=1, Rsp=0.000230, 0.000000, 801.734484
[22556-1400]R=5410; MaxAge=100; Cached=1, Rsp=0.000413, 0.000000, 803.032032
[22556-1400]R=5413; MaxAge=100; Cached=1, Rsp=0.000204, 0.000000, 804.439763
[22556-1400]R=5416; MaxAge=100; Cached=1, Rsp=0.000413, 0.000000, 805.626814
[22556-1400]R=5419; MaxAge=100; Cached=1, Rsp=0.000165, 0.000000, 806.923747
[22556-1400]R=5422; MaxAge=100; Cached=1, Rsp=0.000176, 0.000000, 808.221609
[22556-1400]R=5425; MaxAge=100; Cached=1, Rsp=0.000330, 0.000000, 809.519167
[22556-1400]R=5427; MaxAge=100; Cached=1, Rsp=0.000371, 0.000000, 810.715968
[22556-1400]R=5429; MaxAge=100; Cached=1, Rsp=0.000364, 0.000000, 812.023743
[22556-1400]R=5431; MaxAge=100; Cached=1, Rsp=0.000659, 0.000000, 813.109941
[22556-1400]R=5433; MaxAge=100; Cached=1, Rsp=0.000369, 0.000000, 814.417005
[22556-1400]R=5436; MaxAge=100; Cached=1, Rsp=0.000206, 0.000000, 815.603507
[22556-1400]R=5439; MaxAge=100; Cached=1, Rsp=0.000409, 0.000000, 816.845556
[22556-1400]R=5441; MaxAge=100; Cached=1, Rsp=0.000430, 0.000000, 818.152906
[22556-1400]R=5443; MaxAge=100; Cached=1, Rsp=0.000647, 0.000000, 819.349324
[22556-1400]R=5445; MaxAge=100; Cached=1, Rsp=0.000148, 0.000000, 820.435166
[22556-1400]R=5447; MaxAge=100; Cached=1, Rsp=0.000188, 0.000000, 821.742227
[22556-1400]R=5449; MaxAge=100; Cached=1, Rsp=0.000166, 0.000000, 822.828243
[22556-1400]R=5451; MaxAge=100; Cached=1, Rsp=0.000406, 0.000000, 824.135245
[22556-1400]R=5454; MaxAge=100; Cached=1, Rsp=0.000413, 0.000000, 825.322049
[22556-1400]R=5457; MaxAge=100; Cached=1, Rsp=0.000538, 0.000000, 826.509371
[22556-1400]R=5459; MaxAge=100; Cached=1, Rsp=0.000636, 0.000000, 827.816239
[22556-1400]R=5461; MaxAge=100; Cached=1, Rsp=0.000282, 0.000000, 829.122750
[22556-1400]R=5463; MaxAge=100; Cached=1, Rsp=0.000393, 0.000000, 830.209120
[22556-1400]R=5465; MaxAge=100; Cached=1, Rsp=0.000353, 0.000000, 831.516237
[22556-1400]R=5466; MaxAge=100; Cached=1, Rsp=0.000504, 0.000000, 832.611691
[22556-1400]R=5468; MaxAge=100; Cached=1, Rsp=0.000280, 0.000000, 833.917705
