[22550-1900]R=5379; MaxAge=100; Cached=1, Rsp=0.000275, 0.000000, 788.851633
[22550-1900]R=5383; MaxAge=100; Cached=1, Rsp=0.000492, 0.000000, 790.636253
[22550-1900]R=5386; MaxAge=100; Cached=1, Rsp=0.000355, 0.000000, 792.154769
[22550-1900]R=5389; MaxAge=100; Cached=1, Rsp=0.000567, 0.000000, 793.618647
[22550-1900]R=5393; MaxAge=100; Cached=1, Rsp=0.000756, 0.000000, 795.238097
[22550-1900]R=5396; MaxAge=100; Cached=1, Rsp=0.000099, 0.000000, 796.921417
[22550-1900]R=5400; MaxAge=100; Cached=1, Rsp=0.000271, 0.000000, 798.652438
[22550-1900]R=5404; MaxAge=100; Cached=1, Rsp=0.000549, 0.000000, 800.327206
[22550-1900]R=5408; MaxAge=100; Cached=1, Rsp=0.000402, 0.000000, 802.112013
[22550-1900]R=5412; MaxAge=100; Cached=1, Rsp=0.000156, 0.000000, 803.952306
[22550-1900]R=5416; MaxAge=100; Cached=1, Rsp=0.000169, 0.000000, 805.626685
[22550-1900]R=5420; MaxAge=100; Cached=1, Rsp=0.000190, 0.000000, 807.411787
[22550-1900]R=5424; MaxAge=100; Cached=1, Rsp=0.000426, 0.000000, 809.142005
[22550-1900]R=5427; MaxAge=100; Cached=1, Rsp=0.000543, 0.000000, 810.716248
[22550-1900]R=5430; MaxAge=100; Cached=1, Rsp=0.000181, 0.000000, 812.345617
[22550-1900]R=5432; MaxAge=100; Cached=1, Rsp=0.000195, 0.000000, 813.818429
[22550-1900]R=5436; MaxAge=100; Cached=1, Rsp=0.000151, 0.000000, 815.603492
[22550-1900]R=5440; MaxAge=100; Cached=1, Rsp=0.000532, 0.000000, 817.443955
[22550-1900]R=5443; MaxAge=100; Cached=1, Rsp=0.000398, 0.000000, 819.349199
[22550-1900]R=5446; MaxAge=100; Cached=1, Rsp=0.000786, 0.000000, 821.254984
[22550-1900]R=5449; MaxAge=100; Cached=1, Rsp=0.000147, 0.000000, 822.828434
[22550-1900]R=5452; MaxAge=100; Cached=1, Rsp=0.000292, 0.000000, 824.401987
[22550-1900]R=5456; MaxAge=100; Cached=1, Rsp=0.000337, 0.000000, 826.242380
[22550-1900]R=5459; MaxAge=100; Cached=1, Rsp=0.000411, 0.000000, 827.816229
[22550-1900]R=5462; MaxAge=100; Cached=1, Rsp=0.000173, 0.000000, 829.444910
[22550-1900]R=5464; MaxAge=100; Cached=1, Rsp=0.000167, 0.000000, 831.138697
[22550-1900]R=5466; MaxAge=100; Cached=1, Rsp=0.000388, 0.000000, 832.611835
[22550-1900]R=5469; MaxAge=100; Cached=1, Rsp=0.000307, 0.000000, 834.405393
[22550-1900]R=5472; MaxAge=100; Cached=1, Rsp=0.000451, 0.000000, 836.254967
[22550-1900]R=5474; MaxAge=100; Cached=0, Rsp=0.101131, 0.000000, 838.003279
