[22547-2800]R=5393; MaxAge=100; Cached=1, Rsp=0.000146, 0.000000, 795.237594
[22547-2800]R=5398; MaxAge=100; Cached=1, Rsp=0.000170, 0.000000, 797.842764
[22547-2800]R=5404; MaxAge=100; Cached=1, Rsp=0.000159, 0.000000, 800.327033
[22547-2800]R=5409; MaxAge=100; Cached=1, Rsp=0.000149, 0.000000, 802.544350
[22547-2800]R=5414; MaxAge=100; Cached=1, Rsp=0.000196, 0.000000, 804.706482
[22547-2800]R=5419; MaxAge=100; Cached=1, Rsp=0.000262, 0.000000, 806.924060
[22547-2800]R=5424; MaxAge=100; Cached=1, Rsp=0.000174, 0.000000, 809.141863
[22547-2800]R=5428; MaxAge=100; Cached=1, Rsp=0.000307, 0.000000, 811.536091
[22547-2800]R=5432; MaxAge=100; Cached=1, Rsp=0.000272, 0.000000, 813.818756
[22547-2800]R=5437; MaxAge=100; Cached=1, Rsp=0.000171, 0.000000, 816.035784
[22547-2800]R=5442; MaxAge=100; Cached=1, Rsp=0.000169, 0.000000, 818.806038
[22547-2800]R=5446; MaxAge=100; Cached=1, Rsp=0.000171, 0.000000, 821.254710
[22547-2800]R=5450; MaxAge=100; Cached=1, Rsp=0.000148, 0.000000, 823.536884
[22547-2800]R=5455; MaxAge=100; Cached=1, Rsp=0.000199, 0.000000, 825.754462
[22547-2800]R=5460; MaxAge=100; Cached=1, Rsp=0.000188, 0.000000, 828.524694
[22547-2800]R=5464; MaxAge=100; Cached=1, Rsp=0.000176, 0.000000, 831.138919
[22547-2800]R=5467; MaxAge=100; Cached=1, Rsp=0.000096, 0.000000, 833.430081
[22547-2800]R=5471; MaxAge=100; Cached=1, Rsp=0.000166, 0.000000, 835.711856
[22547-2800]R=5474; MaxAge=100; Cached=1, Rsp=0.000166, 0.000000, 838.003230
[22547-2800]R=5477; MaxAge=100; Cached=0, Rsp=0.100664, 0.000000, 840.846656
