[22565-900]R=5363; MaxAge=100; Cached=1, Rsp=0.000599, 0.000000, 781.104343
[22565-900]R=5365; MaxAge=100; Cached=0, Rsp=0.101022, 0.000000, 782.024335
[22565-900]R=5367; MaxAge=100; Cached=0, Rsp=0.100983, 0.000000, 782.943951
[22565-900]R=5369; MaxAge=100; Cached=0, Rsp=0.100805, 0.000000, 783.808555
[22565-900]R=5371; MaxAge=100; Cached=1, Rsp=0.000346, 0.000000, 784.728821
[22565-900]R=5373; MaxAge=100; Cached=1, Rsp=0.000180, 0.000000, 785.538182
[22565-900]R=5374; MaxAge=100; Cached=1, Rsp=0.000292, 0.000000, 786.302405
[22565-900]R=5375; MaxAge=100; Cached=1, Rsp=0.000879, 0.000000, 787.011775
[22565-900]R=5377; MaxAge=100; Cached=0, Rsp=0.101041, 0.000000, 787.931902
[22565-900]R=5379; MaxAge=100; Cached=0, Rsp=0.100797, 0.000000, 788.851165
[22565-900]R=5381; MaxAge=100; Cached=0, Rsp=0.100950, 0.000000, 789.716064
[22565-900]R=5383; MaxAge=100; Cached=1, Rsp=0.000334, 0.000000, 790.635968
[22565-900]R=5384; MaxAge=100; Cached=1, Rsp=0.000490, 0.000000, 791.344993
[22565-900]R=5386; MaxAge=100; Cached=1, Rsp=0.000386, 0.000000, 792.154639
[22565-900]R=5388; MaxAge=100; Cached=1, Rsp=0.000325, 0.000000, 792.909442
[22565-900]R=5389; MaxAge=100; Cached=1, Rsp=0.000336, 0.000000, 793.618079
[22565-900]R=5391; MaxAge=100; Cached=1, Rsp=0.000319, 0.000000, 794.427801
[22565-900]R=5393; MaxAge=100; Cached=1, Rsp=0.001364, 0.000000, 795.238371
[22565-900]R=5394; MaxAge=100; Cached=1, Rsp=0.000392, 0.000000, 796.001629
[22565-900]R=5396; MaxAge=100; Cached=0, Rsp=0.100709, 0.000000, 796.921478
[22565-900]R=5398; MaxAge=100; Cached=0, Rsp=0.100901, 0.000000, 797.842230
[22565-900]R=5400; MaxAge=100; Cached=0, Rsp=0.101103, 0.000000, 798.652364
[22565-900]R=5402; MaxAge=100; Cached=1, Rsp=0.000337, 0.000000, 799.517345
[22565-900]R=5404; MaxAge=100; Cached=1, Rsp=0.000185, 0.000000, 800.326607
[22565-900]R=5406; MaxAge=100; Cached=0, Rsp=0.100672, 0.000000, 801.246790
[22565-900]R=5408; MaxAge=100; Cached=0, Rsp=0.100829, 0.000000, 802.111526
[22565-900]R=5410; MaxAge=100; Cached=0, Rsp=0.100703, 0.000000, 803.031691
[22565-900]R=5412; MaxAge=100; Cached=1, Rsp=0.000656, 0.000000, 803.952558
[22565-900]R=5414; MaxAge=100; Cached=1, Rsp=0.000233, 0.000000, 804.706386
[22565-900]R=5416; MaxAge=100; Cached=0, Rsp=0.101117, 0.000000, 805.626620
[22565-900]R=5418; MaxAge=100; Cached=0, Rsp=0.100905, 0.000000, 806.546500
[22565-900]R=5420; MaxAge=100; Cached=0, Rsp=0.101163, 0.000000, 807.411938
[22565-900]R=5422; MaxAge=100; Cached=0, Rsp=0.100890, 0.000000, 808.221155
[22565-900]R=5424; MaxAge=100; Cached=1, Rsp=0.000319, 0.000000, 809.141773
[22565-900]R=5426; MaxAge=100; Cached=1, Rsp=0.000319, 0.000000, 809.951718
[22565-900]R=5427; MaxAge=100; Cached=1, Rsp=0.000189, 0.000000, 810.715557
[22565-900]R=5428; MaxAge=100; Cached=1, Rsp=0.001001, 0.000000, 811.536458
[22565-900]R=5430; MaxAge=100; Cached=1, Rsp=0.000320, 0.000000, 812.345629
[22565-900]R=5431; MaxAge=100; Cached=1, Rsp=0.000194, 0.000000, 813.109245
[22565-900]R=5432; MaxAge=100; Cached=1, Rsp=0.000891, 0.000000, 813.818999
[22565-900]R=5434; MaxAge=100; Cached=0, Rsp=0.101149, 0.000000, 814.738971
[22565-900]R=5436; MaxAge=100; Cached=0, Rsp=0.100732, 0.000000, 815.603395
[22565-900]R=5438; MaxAge=100; Cached=0, Rsp=0.101086, 0.000000, 816.523530
[22565-900]R=5440; MaxAge=100; Cached=1, Rsp=0.000229, 0.000000, 817.443520
[22565-900]R=5441; MaxAge=100; Cached=1, Rsp=0.000342, 0.000000, 818.152589
[22565-900]R=5442; MaxAge=100; Cached=1, Rsp=0.000292, 0.000000, 818.806033
[22565-900]R=5444; MaxAge=100; Cached=1, Rsp=0.000118, 0.000000, 819.615619
[22565-900]R=5445; MaxAge=100; Cached=1, Rsp=0.000547, 0.000000, 820.435333
[22565-900]R=5446; MaxAge=100; Cached=1, Rsp=0.000359, 0.000000, 821.254325
[22565-900]R=5448; MaxAge=100; Cached=1, Rsp=0.000213, 0.000000, 822.008936
[22565-900]R=5449; MaxAge=100; Cached=1, Rsp=0.000183, 0.000000, 822.828029
[22565-900]R=5450; MaxAge=100; Cached=1, Rsp=0.000179, 0.000000, 823.536738
[22565-900]R=5452; MaxAge=100; Cached=0, Rsp=0.100848, 0.000000, 824.401613
[22565-900]R=5454; MaxAge=100; Cached=0, Rsp=0.101117, 0.000000, 825.321852
[22565-900]R=5456; MaxAge=100; Cached=0, Rsp=0.100821, 0.000000, 826.241957
[22565-900]R=5458; MaxAge=100; Cached=0, Rsp=0.101011, 0.000000, 827.107163
[22565-900]R=5459; MaxAge=100; Cached=0, Rsp=0.101105, 0.000000, 827.815817
[22565-900]R=5460; MaxAge=100; Cached=0, Rsp=0.100838, 0.000000, 828.524551
[22565-900]R=5462; MaxAge=100; Cached=0, Rsp=0.100881, 0.000000, 829.444421
[22565-900]R=5463; MaxAge=100; Cached=0, Rsp=0.101130, 0.000000, 830.208939
