[22539-2900]R=5391; MaxAge=100; Cached=1, Rsp=0.000147, 0.000000, 794.427869
[22539-2900]R=5396; MaxAge=100; Cached=1, Rsp=0.000066, 0.000000, 796.921434
[22539-2900]R=5402; MaxAge=100; Cached=1, Rsp=0.000273, 0.000000, 799.517515
[22539-2900]R=5408; MaxAge=100; Cached=1, Rsp=0.000163, 0.000000, 802.111886
[22539-2900]R=5413; MaxAge=100; Cached=1, Rsp=0.000056, 0.000000, 804.439703
[22539-2900]R=5419; MaxAge=100; Cached=1, Rsp=0.000145, 0.000000, 806.924053
[22539-2900]R=5425; MaxAge=100; Cached=1, Rsp=0.000291, 0.000000, 809.519364
[22539-2900]R=5429; MaxAge=100; Cached=1, Rsp=0.000165, 0.000000, 812.023673
[22539-2900]R=5433; MaxAge=100; Cached=1, Rsp=0.000162, 0.000000, 814.416910
[22539-2900]R=5439; MaxAge=100; Cached=1, Rsp=0.000166, 0.000000, 816.845427
[22539-2900]R=5443; MaxAge=100; Cached=1, Rsp=0.000287, 0.000000, 819.349406
[22539-2900]R=5447; MaxAge=100; Cached=1, Rsp=0.000188, 0.000000, 821.742357
[22539-2900]R=5451; MaxAge=100; Cached=1, Rsp=0.000163, 0.000000, 824.135118
[22539-2900]R=5457; MaxAge=100; Cached=1, Rsp=0.000159, 0.000000, 826.509105
[22539-2900]R=5461; MaxAge=100; Cached=1, Rsp=0.000076, 0.000000, 829.122669
[22539-2900]R=5465; MaxAge=100; Cached=1, Rsp=0.000151, 0.000000, 831.516164
[22539-2900]R=5468; MaxAge=100; Cached=1, Rsp=0.000165, 0.000000, 833.917718
[22539-2900]R=5472; MaxAge=100; Cached=1, Rsp=0.000167, 0.000000, 836.254805
[22539-2900]R=5475; MaxAge=100; Cached=0, Rsp=0.100802, 0.000000, 839.153640
[22539-2900]R=5478; MaxAge=100; Cached=1, Rsp=0.000171, 0.000000, 842.052316
