[22544-2400]R=5389; MaxAge=100; Cached=1, Rsp=0.000181, 0.000000, 793.618365
[22544-2400]R=5394; MaxAge=100; Cached=1, Rsp=0.000148, 0.000000, 796.001619
[22544-2400]R=5399; MaxAge=100; Cached=1, Rsp=0.000160, 0.000000, 798.109445
[22544-2400]R=5404; MaxAge=100; Cached=1, Rsp=0.000308, 0.000000, 800.327075
[22544-2400]R=5409; MaxAge=100; Cached=1, Rsp=0.000388, 0.000000, 802.544480
[22544-2400]R=5413; MaxAge=100; Cached=1, Rsp=0.000125, 0.000000, 804.439732
[22544-2400]R=5418; MaxAge=100; Cached=1, Rsp=0.000202, 0.000000, 806.546471
[22544-2400]R=5423; MaxAge=100; Cached=1, Rsp=0.000148, 0.000000, 808.543552
[22544-2400]R=5427; MaxAge=100; Cached=1, Rsp=0.000161, 0.000000, 810.716300
[22544-2400]R=5431; MaxAge=100; Cached=1, Rsp=0.000267, 0.000000, 813.109761
[22544-2400]R=5435; MaxAge=100; Cached=1, Rsp=0.000215, 0.000000, 815.226470
[22544-2400]R=5440; MaxAge=100; Cached=1, Rsp=0.000296, 0.000000, 817.443935
[22544-2400]R=5443; MaxAge=100; Cached=1, Rsp=0.000266, 0.000000, 819.349278
[22544-2400]R=5446; MaxAge=100; Cached=1, Rsp=0.000426, 0.000000, 821.254861
[22544-2400]R=5450; MaxAge=100; Cached=1, Rsp=0.000214, 0.000000, 823.536895
[22544-2400]R=5455; MaxAge=100; Cached=1, Rsp=0.000179, 0.000000, 825.754318
[22544-2400]R=5459; MaxAge=100; Cached=1, Rsp=0.000145, 0.000000, 827.816069
[22544-2400]R=5463; MaxAge=100; Cached=1, Rsp=0.000151, 0.000000, 830.208991
[22544-2400]R=5466; MaxAge=100; Cached=1, Rsp=0.000148, 0.000000, 832.611703
[22544-2400]R=5470; MaxAge=100; Cached=1, Rsp=0.000181, 0.000000, 835.003373
[22544-2400]R=5473; MaxAge=100; Cached=0, Rsp=0.100844, 0.000000, 837.405043
[22544-2400]R=5476; MaxAge=100; Cached=1, Rsp=0.000156, 0.000000, 839.807050
[22544-2400]R=5478; MaxAge=100; Cached=1, Rsp=0.000289, 0.000000, 842.052305
[22544-2400]R=5480; MaxAge=100; Cached=1, Rsp=0.000190, 0.000000, 844.352942
[22544-2400]R=5481; MaxAge=100; Cached=0, Rsp=0.100848, 0.000000, 846.608179
