[0-0]R=327242; MaxAge=246; Rsp=0.028089;(0.012961)(0.005991)(0.009093)(0.000044)
[0-0]R=327246; MaxAge=211; Rsp=0.027078;(0.012997)(0.005084)(0.008966)(0.000031)
[0-0]R=327250; MaxAge=218; Rsp=0.028131;(0.012977)(0.006030)(0.009086)(0.000038)
[0-0]R=327254; MaxAge=241; Rsp=0.027981;(0.012892)(0.005975)(0.009089)(0.000025)
[0-0]R=327258; MaxAge=204; Rsp=0.029152;(0.013013)(0.006945)(0.009157)(0.000037)
[0-0]R=327262; MaxAge=226; Rsp=0.028112;(0.012986)(0.005956)(0.009132)(0.000038)
[0-0]R=327266; MaxAge=244; Rsp=0.027388;(0.012255)(0.006015)(0.009081)(0.000037)
[0-0]R=327270; MaxAge=208; Rsp=0.028121;(0.013010)(0.005972)(0.009101)(0.000038)
[0-0]R=327274; MaxAge=241; Rsp=0.028319;(0.012993)(0.006063)(0.009223)(0.000040)
[0-0]R=327278; MaxAge=252; Rsp=0.027713;(0.012544)(0.006013)(0.009114)(0.000042)
[0-0]R=327282; MaxAge=204; Rsp=0.028084;(0.012942)(0.006030)(0.009074)(0.000038)
[0-0]R=327286; MaxAge=225; Rsp=0.028086;(0.012926)(0.006051)(0.009071)(0.000038)
[0-0]R=327290; MaxAge=247; Rsp=0.028079;(0.012948)(0.006020)(0.009074)(0.000037)
[0-0]R=327294; MaxAge=229; Rsp=0.027194;(0.012328)(0.005674)(0.009156)(0.000036)
[0-0]R=327298; MaxAge=205; Rsp=0.028145;(0.013041)(0.005966)(0.009114)(0.000024)
[0-0]R=327302; MaxAge=235; Rsp=0.028105;(0.012984)(0.005983)(0.009113)(0.000025)
[0-0]R=327306; MaxAge=251; Rsp=0.028110;(0.013028)(0.005932)(0.009116)(0.000034)
[0-0]R=327310; MaxAge=220; Rsp=0.027198;(0.012996)(0.006002)(0.008174)(0.000026)
[0-0]R=327314; MaxAge=241; Rsp=0.028079;(0.012962)(0.005968)(0.009110)(0.000039)
[0-0]R=327318; MaxAge=210; Rsp=0.028114;(0.013036)(0.006047)(0.009007)(0.000024)
[0-0]R=327322; MaxAge=228; Rsp=0.028352;(0.012981)(0.006005)(0.009325)(0.000041)
[0-0]R=327326; MaxAge=249; Rsp=0.028109;(0.012959)(0.006006)(0.009107)(0.000037)
[0-0]R=327330; MaxAge=214; Rsp=0.028097;(0.013031)(0.005953)(0.009078)(0.000035)
[0-0]R=327334; MaxAge=235; Rsp=0.028176;(0.013009)(0.005915)(0.009228)(0.000024)
[0-0]R=327338; MaxAge=254; Rsp=0.028139;(0.013024)(0.005992)(0.009099)(0.000024)
[0-0]R=327342; MaxAge=220; Rsp=0.027135;(0.013026)(0.005073)(0.009008)(0.000028)
[0-0]R=327346; MaxAge=241; Rsp=0.028084;(0.012949)(0.005994)(0.009108)(0.000033)
[0-0]R=327350; MaxAge=206; Rsp=0.027963;(0.012972)(0.005796)(0.009170)(0.000025)
[0-0]R=327354; MaxAge=226; Rsp=0.028114;(0.012973)(0.006011)(0.009094)(0.000036)
[0-0]R=327358; MaxAge=245; Rsp=0.028102;(0.012977)(0.006010)(0.009082)(0.000033)
[0-0]R=327362; MaxAge=206; Rsp=0.028120;(0.013029)(0.005985)(0.009069)(0.000037)
[0-0]R=327366; MaxAge=226; Rsp=0.028116;(0.013000)(0.005989)(0.009090)(0.000037)
[0-0]R=327370; MaxAge=231; Rsp=0.027948;(0.012811)(0.005985)(0.009113)(0.000039)
[0-0]R=327374; MaxAge=255; Rsp=0.028137;(0.013036)(0.005964)(0.009098)(0.000039)
[0-0]R=327378; MaxAge=232; Rsp=0.027155;(0.012593)(0.005439)(0.009099)(0.000024)
[0-0]R=327382; MaxAge=251; Rsp=0.028132;(0.012969)(0.006001)(0.009123)(0.000039)
[0-0]R=327386; MaxAge=211; Rsp=0.028111;(0.013002)(0.005996)(0.009073)(0.000040)
[0-0]R=327390; MaxAge=233; Rsp=0.028122;(0.013024)(0.005954)(0.009108)(0.000036)
[0-0]R=327394; MaxAge=254; Rsp=0.028129;(0.013008)(0.005940)(0.009139)(0.000042)
[0-0]R=327398; MaxAge=211; Rsp=0.028084;(0.012938)(0.006003)(0.009104)(0.000039)
[0-0]R=327402; MaxAge=229; Rsp=0.028154;(0.012999)(0.006037)(0.009079)(0.000039)
[0-0]R=327406; MaxAge=251; Rsp=0.028213;(0.013108)(0.005965)(0.009100)(0.000040)
[0-0]R=327410; MaxAge=258; Rsp=0.028178;(0.013020)(0.005989)(0.009144)(0.000025)
[0-0]R=327414; MaxAge=218; Rsp=0.028083;(0.012961)(0.006016)(0.009081)(0.000025)
[0-0]R=327418; MaxAge=240; Rsp=0.028265;(0.013016)(0.005954)(0.009256)(0.000039)
[0-0]R=327422; MaxAge=257; Rsp=0.028115;(0.012995)(0.006072)(0.009022)(0.000026)
[0-0]R=327426; MaxAge=254; Rsp=0.028159;(0.013015)(0.005971)(0.009133)(0.000040)
[0-0]R=327430; MaxAge=215; Rsp=0.028261;(0.012969)(0.006013)(0.009238)(0.000041)
[0-0]R=327434; MaxAge=236; Rsp=0.028092;(0.013014)(0.005953)(0.009100)(0.000025)
[0-0]R=327438; MaxAge=257; Rsp=0.028230;(0.013008)(0.006003)(0.009184)(0.000035)
[0-0]R=327442; MaxAge=224; Rsp=0.028240;(0.013033)(0.005939)(0.009229)(0.000039)
[0-0]R=327446; MaxAge=248; Rsp=0.028169;(0.012992)(0.005979)(0.009158)(0.000040)
[0-0]R=327450; MaxAge=210; Rsp=0.027994;(0.012907)(0.006009)(0.009045)(0.000033)
[0-0]R=327454; MaxAge=221; Rsp=0.028125;(0.012972)(0.006004)(0.009112)(0.000037)
[0-0]R=327458; MaxAge=245; Rsp=0.028131;(0.013019)(0.005976)(0.009085)(0.000051)
[0-0]R=327462; MaxAge=210; Rsp=0.028173;(0.013042)(0.005953)(0.009139)(0.000039)
[0-0]R=327466; MaxAge=230; Rsp=0.028144;(0.013013)(0.005967)(0.009129)(0.000035)
[0-0]R=327470; MaxAge=247; Rsp=0.028296;(0.013038)(0.005959)(0.009256)(0.000043)
[0-0]R=327474; MaxAge=211; Rsp=0.028098;(0.012949)(0.005972)(0.009142)(0.000035)
[0-0]R=327478; MaxAge=229; Rsp=0.028134;(0.012983)(0.005994)(0.009117)(0.000040)
[0-0]R=327482; MaxAge=247; Rsp=0.027260;(0.012990)(0.005996)(0.008237)(0.000037)
[0-0]R=327486; MaxAge=204; Rsp=0.028145;(0.013005)(0.006025)(0.009078)(0.000037)
[0-0]R=327490; MaxAge=223; Rsp=0.028128;(0.012987)(0.005982)(0.009120)(0.000039)
[0-0]R=327494; MaxAge=246; Rsp=0.028117;(0.012968)(0.006006)(0.009105)(0.000038)
[0-0]R=327498; MaxAge=207; Rsp=0.028108;(0.012980)(0.006044)(0.009038)(0.000046)
[0-0]R=327502; MaxAge=230; Rsp=0.028090;(0.012963)(0.006032)(0.009057)(0.000038)
[0-0]R=327506; MaxAge=250; Rsp=0.028154;(0.013008)(0.006015)(0.009091)(0.000040)
[0-0]R=327510; MaxAge=216; Rsp=0.028149;(0.012970)(0.006043)(0.009097)(0.000039)
[0-0]R=327514; MaxAge=215; Rsp=0.028132;(0.012967)(0.006019)(0.009105)(0.000041)
[0-0]R=327518; MaxAge=233; Rsp=0.028104;(0.012985)(0.005965)(0.009117)(0.000037)
[0-0]R=327522; MaxAge=245; Rsp=0.027975;(0.012799)(0.006015)(0.009113)(0.000048)
[0-0]R=327526; MaxAge=208; Rsp=0.027131;(0.012984)(0.005090)(0.009019)(0.000038)
[0-0]R=327530; MaxAge=233; Rsp=0.028135;(0.013019)(0.005959)(0.009120)(0.000037)
[0-0]R=327534; MaxAge=255; Rsp=0.028097;(0.012928)(0.006030)(0.009105)(0.000034)
[0-0]R=327538; MaxAge=216; Rsp=0.028116;(0.013032)(0.005971)(0.009082)(0.000031)
[0-0]R=327542; MaxAge=239; Rsp=0.028113;(0.012977)(0.006008)(0.009090)(0.000038)
[0-0]R=327546; MaxAge=206; Rsp=0.028072;(0.012969)(0.006005)(0.009072)(0.000026)
