[0-0]R=327241; MaxAge=31; Rsp=0.000083;(0.000000)(0.000000)(0.000000)(0.000083)
[0-0]R=327245; MaxAge=34; Rsp=0.000074;(0.000000)(0.000000)(0.000000)(0.000073)
[0-0]R=327249; MaxAge=42; Rsp=0.000077;(0.000000)(0.000000)(0.000000)(0.000076)
[0-0]R=327253; MaxAge=7; Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000081)
[0-0]R=327257; MaxAge=28; Rsp=0.000080;(0.000000)(0.000000)(0.000000)(0.000080)
[0-0]R=327261; MaxAge=49; Rsp=0.000059;(0.000000)(0.000000)(0.000000)(0.000059)
[0-0]R=327265; MaxAge=12; Rsp=0.000081;(0.000000)(0.000000)(0.000000)(0.000080)
[0-0]R=327269; MaxAge=32; Rsp=0.000081;(0.000000)(0.000000)(0.000000)(0.000081)
[0-0]R=327273; MaxAge=7; Rsp=0.000084;(0.000000)(0.000000)(0.000000)(0.000083)
[0-0]R=327277; MaxAge=20; Rsp=0.000080;(0.000000)(0.000000)(0.000000)(0.000079)
[0-0]R=327281; MaxAge=28; Rsp=0.000059;(0.000000)(0.000000)(0.000000)(0.000059)
[0-0]R=327285; MaxAge=50; Rsp=0.000077;(0.000000)(0.000000)(0.000000)(0.000076)
[0-0]R=327289; MaxAge=14; Rsp=0.000076;(0.000000)(0.000000)(0.000000)(0.000076)
[0-0]R=327293; MaxAge=42; Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000081)
[0-0]R=327297; MaxAge=26; Rsp=0.000056;(0.000000)(0.000000)(0.000000)(0.000055)
[0-0]R=327301; MaxAge=58; Rsp=0.000069;(0.000000)(0.000000)(0.000000)(0.000069)
[0-0]R=327305; MaxAge=19; Rsp=0.000111;(0.000000)(0.000000)(0.000000)(0.000110)
[0-0]R=327309; MaxAge=45; Rsp=0.000077;(0.000000)(0.000000)(0.000000)(0.000077)
[0-0]R=327313; MaxAge=9; Rsp=0.000069;(0.000000)(0.000000)(0.000000)(0.000069)
[0-0]R=327317; MaxAge=34; Rsp=0.000078;(0.000000)(0.000000)(0.000000)(0.000078)
[0-0]R=327321; MaxAge=55; Rsp=0.000079;(0.000000)(0.000000)(0.000000)(0.000078)
[0-0]R=327325; MaxAge=17; Rsp=0.000082;(0.000000)(0.000000)(0.000000)(0.000082)
[0-0]R=327329; MaxAge=39; Rsp=0.000057;(0.000000)(0.000000)(0.000000)(0.000056)
[0-0]R=327333; MaxAge=3; Rsp=0.000096;(0.000000)(0.000000)(0.000000)(0.000095)
[0-0]R=327337; MaxAge=21; Rsp=0.000063;(0.000000)(0.000000)(0.000000)(0.000063)
[0-0]R=327341; MaxAge=45; Rsp=0.000086;(0.000000)(0.000000)(0.000000)(0.000086)
[0-0]R=327345; MaxAge=9; Rsp=0.000076;(0.000000)(0.000000)(0.000000)(0.000075)
[0-0]R=327349; MaxAge=31; Rsp=0.000058;(0.000000)(0.000000)(0.000000)(0.000058)
