[0-0]R=327243; MaxAge=592; Rsp=0.028091;(0.013017)(0.005960)(0.009072)(0.000042)
[0-0]R=327247; MaxAge=614; Rsp=0.028002;(0.012843)(0.005959)(0.009165)(0.000035)
[0-0]R=327251; MaxAge=622; Rsp=0.028175;(0.012990)(0.005984)(0.009150)(0.000051)
[0-0]R=327255; MaxAge=587; Rsp=0.028106;(0.012961)(0.006035)(0.009077)(0.000033)
[0-0]R=327259; MaxAge=606; Rsp=0.028155;(0.012977)(0.006045)(0.009097)(0.000036)
[0-0]R=327263; MaxAge=629; Rsp=0.028104;(0.012960)(0.006034)(0.009073)(0.000037)
[0-0]R=327267; MaxAge=591; Rsp=0.028219;(0.013031)(0.006004)(0.009144)(0.000040)
[0-0]R=327271; MaxAge=619; Rsp=0.028096;(0.012982)(0.006031)(0.009060)(0.000023)
[0-0]R=327275; MaxAge=638; Rsp=0.028067;(0.013014)(0.006061)(0.008968)(0.000024)
[0-0]R=327279; MaxAge=598; Rsp=0.028117;(0.013013)(0.006004)(0.009066)(0.000034)
[0-0]R=327283; MaxAge=608; Rsp=0.028116;(0.013009)(0.006018)(0.009061)(0.000028)
[0-0]R=327287; MaxAge=629; Rsp=0.028130;(0.013026)(0.005971)(0.009089)(0.000044)
[0-0]R=327291; MaxAge=596; Rsp=0.028103;(0.012972)(0.006013)(0.009082)(0.000036)
[0-0]R=327295; MaxAge=633; Rsp=0.027917;(0.012926)(0.006015)(0.008901)(0.000075)
[0-0]R=327299; MaxAge=610; Rsp=0.028150;(0.013001)(0.005970)(0.009139)(0.000040)
[0-0]R=327303; MaxAge=637; Rsp=0.028145;(0.013043)(0.005947)(0.009120)(0.000035)
[0-0]R=327307; MaxAge=598; Rsp=0.028050;(0.012915)(0.006093)(0.009009)(0.000033)
[0-0]R=327311; MaxAge=623; Rsp=0.028146;(0.013035)(0.005974)(0.009086)(0.000051)
[0-0]R=327315; MaxAge=587; Rsp=0.028145;(0.012992)(0.006051)(0.009067)(0.000035)
[0-0]R=327319; MaxAge=612; Rsp=0.028124;(0.012997)(0.005988)(0.009115)(0.000024)
[0-0]R=327323; MaxAge=631; Rsp=0.027667;(0.013053)(0.005969)(0.008619)(0.000026)
[0-0]R=327327; MaxAge=596; Rsp=0.027149;(0.013020)(0.005090)(0.009014)(0.000025)
[0-0]R=327331; MaxAge=617; Rsp=0.028102;(0.013006)(0.005999)(0.009069)(0.000028)
[0-0]R=327335; MaxAge=638; Rsp=0.028145;(0.013013)(0.005999)(0.009097)(0.000036)
[0-0]R=327339; MaxAge=601; Rsp=0.028154;(0.013006)(0.005966)(0.009145)(0.000037)
[0-0]R=327343; MaxAge=623; Rsp=0.028153;(0.013015)(0.005985)(0.009078)(0.000075)
[0-0]R=327347; MaxAge=588; Rsp=0.028077;(0.012950)(0.005984)(0.009105)(0.000038)
[0-0]R=327351; MaxAge=609; Rsp=0.028112;(0.012946)(0.006000)(0.009128)(0.000038)
[0-0]R=327355; MaxAge=628; Rsp=0.028112;(0.013063)(0.005946)(0.009077)(0.000026)
[0-0]R=327359; MaxAge=592; Rsp=0.028132;(0.013028)(0.005977)(0.009091)(0.000036)
[0-0]R=327363; MaxAge=608; Rsp=0.027441;(0.012943)(0.006029)(0.008420)(0.000049)
[0-0]R=327367; MaxAge=627; Rsp=0.028108;(0.013012)(0.006060)(0.009010)(0.000026)
[0-0]R=327371; MaxAge=634; Rsp=0.028139;(0.013001)(0.006026)(0.009072)(0.000040)
[0-0]R=327375; MaxAge=601; Rsp=0.027578;(0.012538)(0.005951)(0.009051)(0.000038)
[0-0]R=327379; MaxAge=635; Rsp=0.028124;(0.013045)(0.006016)(0.009040)(0.000023)
[0-0]R=327383; MaxAge=598; Rsp=0.028177;(0.013036)(0.006056)(0.009049)(0.000036)
[0-0]R=327387; MaxAge=615; Rsp=0.027131;(0.012987)(0.005711)(0.008396)(0.000037)
[0-0]R=327391; MaxAge=635; Rsp=0.028173;(0.013031)(0.005975)(0.009129)(0.000038)
[0-0]R=327395; MaxAge=592; Rsp=0.028143;(0.013001)(0.006008)(0.009109)(0.000025)
[0-0]R=327399; MaxAge=615; Rsp=0.027095;(0.013026)(0.005228)(0.008812)(0.000029)
[0-0]R=327403; MaxAge=632; Rsp=0.027152;(0.013042)(0.005748)(0.008326)(0.000036)
[0-0]R=327407; MaxAge=597; Rsp=0.028156;(0.013031)(0.005973)(0.009120)(0.000032)
[0-0]R=327411; MaxAge=602; Rsp=0.028039;(0.012910)(0.005989)(0.009110)(0.000030)
[0-0]R=327415; MaxAge=621; Rsp=0.028070;(0.012982)(0.006029)(0.009021)(0.000038)
[0-0]R=327419; MaxAge=586; Rsp=0.028167;(0.013122)(0.005899)(0.009112)(0.000034)
[0-0]R=327423; MaxAge=590; Rsp=0.028202;(0.013083)(0.006026)(0.009068)(0.000025)
[0-0]R=327427; MaxAge=601; Rsp=0.027788;(0.012677)(0.006000)(0.009076)(0.000035)
[0-0]R=327431; MaxAge=618; Rsp=0.027130;(0.013018)(0.005099)(0.008979)(0.000034)
[0-0]R=327435; MaxAge=640; Rsp=0.028125;(0.013088)(0.005884)(0.009114)(0.000039)
[0-0]R=327439; MaxAge=603; Rsp=0.028147;(0.012955)(0.006001)(0.009154)(0.000037)
[0-0]R=327443; MaxAge=628; Rsp=0.028182;(0.012998)(0.005998)(0.009121)(0.000065)
[0-0]R=327447; MaxAge=594; Rsp=0.028066;(0.012992)(0.006029)(0.009020)(0.000025)
[0-0]R=327451; MaxAge=614; Rsp=0.028100;(0.013138)(0.005871)(0.009057)(0.000034)
[0-0]R=327455; MaxAge=625; Rsp=0.028115;(0.012972)(0.005955)(0.009147)(0.000041)
[0-0]R=327459; MaxAge=592; Rsp=0.027327;(0.012212)(0.005932)(0.009146)(0.000037)
[0-0]R=327463; MaxAge=611; Rsp=0.028137;(0.013083)(0.005896)(0.009123)(0.000035)
[0-0]R=327467; MaxAge=633; Rsp=0.028115;(0.012996)(0.005962)(0.009118)(0.000039)
[0-0]R=327471; MaxAge=595; Rsp=0.028163;(0.012996)(0.006017)(0.009110)(0.000040)
[0-0]R=327475; MaxAge=615; Rsp=0.028138;(0.013170)(0.005844)(0.009087)(0.000037)
[0-0]R=327479; MaxAge=630; Rsp=0.028159;(0.013011)(0.005980)(0.009111)(0.000057)
[0-0]R=327483; MaxAge=585; Rsp=0.028062;(0.012978)(0.005982)(0.009075)(0.000027)
[0-0]R=327487; MaxAge=609; Rsp=0.028103;(0.012999)(0.005964)(0.009109)(0.000031)
[0-0]R=327491; MaxAge=627; Rsp=0.028088;(0.012955)(0.005967)(0.009128)(0.000038)
[0-0]R=327495; MaxAge=591; Rsp=0.028073;(0.012921)(0.006013)(0.009103)(0.000036)
[0-0]R=327499; MaxAge=612; Rsp=0.028089;(0.012981)(0.005978)(0.009085)(0.000045)
[0-0]R=327503; MaxAge=634; Rsp=0.028083;(0.012986)(0.006007)(0.009052)(0.000038)
[0-0]R=327507; MaxAge=596; Rsp=0.028172;(0.012985)(0.006019)(0.009128)(0.000040)
[0-0]R=327511; MaxAge=620; Rsp=0.027975;(0.012824)(0.006014)(0.009089)(0.000048)
[0-0]R=327515; MaxAge=619; Rsp=0.028125;(0.013002)(0.006016)(0.009071)(0.000036)
[0-0]R=327519; MaxAge=625; Rsp=0.027976;(0.012845)(0.005982)(0.009110)(0.000039)
[0-0]R=327523; MaxAge=592; Rsp=0.028116;(0.013082)(0.005918)(0.009077)(0.000039)
[0-0]R=327527; MaxAge=611; Rsp=0.028181;(0.013014)(0.005966)(0.009162)(0.000039)
[0-0]R=327531; MaxAge=636; Rsp=0.028114;(0.012988)(0.006005)(0.009083)(0.000038)
[0-0]R=327535; MaxAge=600; Rsp=0.028123;(0.013025)(0.005998)(0.009060)(0.000040)
[0-0]R=327539; MaxAge=619; Rsp=0.027106;(0.012964)(0.005101)(0.009002)(0.000039)
