[9008-40]R=401261; MaxAge=92; Rsp=0.027199;(0.012831)(0.005101)(0.009161)(0.000106)
[4646-41]R=401264; MaxAge=292; Rsp=0.028217;(0.012863)(0.006005)(0.009085)(0.000264)
[9008-41]R=401265; MaxAge=76; Rsp=0.027232;(0.012797)(0.005049)(0.009192)(0.000194)
[4646-42]R=401268; MaxAge=293; Rsp=0.026114;(0.012219)(0.005647)(0.008114)(0.000134)
[9008-42]R=401269; MaxAge=91; Rsp=0.028065;(0.012864)(0.005974)(0.009098)(0.000129)
[4646-43]R=401272; MaxAge=292; Rsp=0.028099;(0.012802)(0.005962)(0.009072)(0.000263)
[9008-43]R=401273; MaxAge=90; Rsp=0.028154;(0.012853)(0.006009)(0.009170)(0.000122)
[4646-44]R=401276; MaxAge=291; Rsp=0.028052;(0.012865)(0.005998)(0.009069)(0.000120)
[9008-44]R=401277; MaxAge=90; Rsp=0.028055;(0.012860)(0.005997)(0.009079)(0.000119)
[4646-45]R=401280; MaxAge=290; Rsp=0.027061;(0.012849)(0.006003)(0.008123)(0.000086)
[9008-45]R=401281; MaxAge=88; Rsp=0.028183;(0.012871)(0.006008)(0.009118)(0.000186)
[4646-46]R=401284; MaxAge=290; Rsp=0.027027;(0.012159)(0.005671)(0.009099)(0.000098)
