[0-0]R=327241; MaxAge=652; Rsp=0.027240;(0.012366)(0.005783)(0.009039)(0.000052)
[0-0]R=327245; MaxAge=659; Rsp=0.028096;(0.013005)(0.005992)(0.009063)(0.000036)
[0-0]R=327249; MaxAge=675; Rsp=0.028161;(0.012989)(0.005949)(0.009186)(0.000037)
[0-0]R=327253; MaxAge=632; Rsp=0.028112;(0.012987)(0.005977)(0.009112)(0.000036)
[0-0]R=327257; MaxAge=652; Rsp=0.027993;(0.012837)(0.005982)(0.009135)(0.000039)
[0-0]R=327261; MaxAge=674; Rsp=0.028126;(0.012996)(0.006042)(0.009050)(0.000038)
[0-0]R=327265; MaxAge=638; Rsp=0.028146;(0.013042)(0.005963)(0.009104)(0.000037)
[0-0]R=327269; MaxAge=657; Rsp=0.028220;(0.013003)(0.005999)(0.009182)(0.000036)
[0-0]R=327273; MaxAge=631; Rsp=0.028110;(0.012883)(0.006095)(0.009092)(0.000040)
[0-0]R=327277; MaxAge=645; Rsp=0.028040;(0.012964)(0.006016)(0.009035)(0.000025)
[0-0]R=327281; MaxAge=654; Rsp=0.028137;(0.012996)(0.006049)(0.009056)(0.000036)
[0-0]R=327285; MaxAge=677; Rsp=0.027453;(0.013068)(0.005945)(0.008386)(0.000054)
[0-0]R=327289; MaxAge=639; Rsp=0.027782;(0.013019)(0.005959)(0.008771)(0.000033)
[0-0]R=327293; MaxAge=668; Rsp=0.028146;(0.013012)(0.005957)(0.009139)(0.000038)
[0-0]R=327297; MaxAge=648; Rsp=0.027964;(0.012823)(0.006013)(0.009091)(0.000037)
[0-0]R=327301; MaxAge=626; Rsp=0.028087;(0.012989)(0.005974)(0.009096)(0.000028)
[0-0]R=327305; MaxAge=643; Rsp=0.028115;(0.013038)(0.005992)(0.009047)(0.000038)
[0-0]R=327309; MaxAge=668; Rsp=0.028155;(0.012976)(0.006189)(0.008954)(0.000036)
[0-0]R=327313; MaxAge=633; Rsp=0.028081;(0.012996)(0.005997)(0.009062)(0.000026)
[0-0]R=327317; MaxAge=657; Rsp=0.028163;(0.013046)(0.005936)(0.009140)(0.000041)
[0-0]R=327321; MaxAge=680; Rsp=0.028129;(0.013010)(0.005988)(0.009106)(0.000025)
[0-0]R=327325; MaxAge=642; Rsp=0.028131;(0.012988)(0.005972)(0.009124)(0.000047)
[0-0]R=327329; MaxAge=663; Rsp=0.028121;(0.013005)(0.006017)(0.009075)(0.000024)
[0-0]R=327333; MaxAge=627; Rsp=0.028148;(0.012978)(0.006027)(0.009104)(0.000039)
[0-0]R=327337; MaxAge=650; Rsp=0.028168;(0.012989)(0.006005)(0.009126)(0.000048)
[0-0]R=327341; MaxAge=672; Rsp=0.028154;(0.013021)(0.005952)(0.009142)(0.000039)
[0-0]R=327345; MaxAge=633; Rsp=0.028126;(0.013029)(0.005963)(0.009090)(0.000044)
[0-0]R=327349; MaxAge=656; Rsp=0.028111;(0.012994)(0.005965)(0.009115)(0.000037)
[0-0]R=327353; MaxAge=675; Rsp=0.028113;(0.013016)(0.005998)(0.009060)(0.000039)
[0-0]R=327357; MaxAge=639; Rsp=0.028058;(0.012994)(0.006005)(0.009026)(0.000033)
[0-0]R=327361; MaxAge=658; Rsp=0.028132;(0.013002)(0.006001)(0.009102)(0.000027)
[0-0]R=327365; MaxAge=676; Rsp=0.028133;(0.013010)(0.005960)(0.009124)(0.000039)
[0-0]R=327369; MaxAge=638; Rsp=0.028141;(0.013002)(0.005984)(0.009117)(0.000038)
[0-0]R=327373; MaxAge=648; Rsp=0.028095;(0.012998)(0.005972)(0.009088)(0.000037)
[0-0]R=327377; MaxAge=673; Rsp=0.027137;(0.013003)(0.005091)(0.008984)(0.000059)
[0-0]R=327381; MaxAge=644; Rsp=0.027064;(0.012910)(0.005989)(0.008129)(0.000036)
[0-0]R=327385; MaxAge=661; Rsp=0.028094;(0.013075)(0.005900)(0.009087)(0.000032)
[0-0]R=327389; MaxAge=680; Rsp=0.027211;(0.013028)(0.005961)(0.008183)(0.000039)
[0-0]R=327393; MaxAge=643; Rsp=0.028152;(0.013053)(0.005953)(0.009107)(0.000039)
[0-0]R=327397; MaxAge=660; Rsp=0.027182;(0.013003)(0.005141)(0.008998)(0.000040)
[0-0]R=327401; MaxAge=624; Rsp=0.028118;(0.012958)(0.005997)(0.009133)(0.000030)
