[13216-900]R=2490; MaxAge=45; Cached=1, Rsp=0.000329, 0.000000, 412.420672
[13216-900]R=2492; MaxAge=100; Cached=0, Rsp=0.100847, 0.000000, 413.395624
[13216-900]R=2494; MaxAge=100; Cached=0, Rsp=0.100608, 0.000000, 414.315133
[13216-900]R=2495; MaxAge=100; Cached=0, Rsp=0.100765, 0.000000, 415.189282
[13216-900]R=2497; MaxAge=100; Cached=0, Rsp=0.100871, 0.000000, 416.109083
[13216-900]R=2499; MaxAge=100; Cached=0, Rsp=0.100799, 0.000000, 416.973774
[13216-900]R=2501; MaxAge=100; Cached=0, Rsp=0.101106, 0.000000, 417.893637
[13216-900]R=2503; MaxAge=100; Cached=0, Rsp=0.100843, 0.000000, 418.813280
[13216-900]R=2505; MaxAge=100; Cached=0, Rsp=0.100828, 0.000000, 419.677862
[13216-900]R=2506; MaxAge=100; Cached=0, Rsp=0.100827, 0.000000, 420.607206
[13216-900]R=2508; MaxAge=45; Cached=1, Rsp=0.000189, 0.000000, 421.416777
[13216-900]R=2510; MaxAge=100; Cached=0, Rsp=0.100833, 0.000000, 422.391604
[13216-900]R=2511; MaxAge=100; Cached=0, Rsp=0.100808, 0.000000, 423.265652
[13216-900]R=2513; MaxAge=100; Cached=0, Rsp=0.100846, 0.000000, 424.185490
[13216-900]R=2515; MaxAge=45; Cached=1, Rsp=0.000326, 0.000000, 425.050072
[13216-900]R=2517; MaxAge=45; Cached=1, Rsp=0.000191, 0.000000, 425.969891
[13216-900]R=2519; MaxAge=100; Cached=0, Rsp=0.100853, 0.000000, 426.889541
[13216-900]R=2521; MaxAge=100; Cached=0, Rsp=0.101111, 0.000000, 427.809581
[13216-900]R=2523; MaxAge=100; Cached=0, Rsp=0.100809, 0.000000, 428.673746
[13216-900]R=2526; MaxAge=100; Cached=0, Rsp=0.100828, 0.000000, 429.583623
[13216-900]R=2528; MaxAge=100; Cached=0, Rsp=0.101115, 0.000000, 430.503583
[13216-900]R=2530; MaxAge=100; Cached=0, Rsp=0.100840, 0.000000, 431.368142
