[13204-2900]R=2527; MaxAge=100; Cached=0, Rsp=0.100839, 0.000000, 430.181627
[13204-2900]R=2534; MaxAge=100; Cached=1, Rsp=0.000167, 0.000000, 433.096870
[13204-2900]R=2540; MaxAge=100; Cached=1, Rsp=0.000174, 0.000000, 435.911929
[13204-2900]R=2546; MaxAge=100; Cached=0, Rsp=0.100828, 0.000000, 438.892433
[13204-2900]R=2550; MaxAge=100; Cached=1, Rsp=0.000175, 0.000000, 441.782229
[13204-2900]R=2555; MaxAge=100; Cached=1, Rsp=0.000186, 0.000000, 444.606692
[13204-2900]R=2562; MaxAge=100; Cached=1, Rsp=0.000166, 0.000000, 447.577374
[13204-2900]R=2569; MaxAge=100; Cached=0, Rsp=0.100819, 0.000000, 450.492972
[13204-2900]R=2575; MaxAge=100; Cached=0, Rsp=0.100864, 0.000000, 453.362441
[13204-2900]R=2582; MaxAge=100; Cached=0, Rsp=0.100799, 0.000000, 456.277784
[13204-2900]R=2588; MaxAge=100; Cached=0, Rsp=0.100644, 0.000000, 459.202700
[13204-2900]R=2594; MaxAge=100; Cached=0, Rsp=0.100816, 0.000000, 462.073435
[13204-2900]R=2600; MaxAge=100; Cached=0, Rsp=0.100861, 0.000000, 464.998446
[13204-2900]R=2605; MaxAge=100; Cached=0, Rsp=0.100811, 0.000000, 467.877870
[13204-2900]R=2609; MaxAge=100; Cached=1, Rsp=0.000178, 0.000000, 470.767071
[13204-2900]R=2613; MaxAge=100; Cached=0, Rsp=0.100830, 0.000000, 473.656005
[13204-2900]R=2617; MaxAge=100; Cached=1, Rsp=0.000167, 0.000000, 476.489344
[13204-2900]R=2620; MaxAge=100; Cached=0, Rsp=0.100822, 0.000000, 479.498133
[13204-2900]R=2622; MaxAge=100; Cached=0, Rsp=0.100820, 0.000000, 482.351049
[13204-2900]R=2624; MaxAge=100; Cached=0, Rsp=0.100830, 0.000000, 485.259189
