[0-0]R=2513; MaxAge=100; Cached=0, Rsp=0.100626, 424.084644, 424.185270
[0-0]R=2514; MaxAge=100; Cached=0, Rsp=0.100602, 424.295925, 424.396527
[0-0]R=2515; MaxAge=100; Cached=0, Rsp=0.100539, 424.893853, 424.994392
[0-0]R=2515; MaxAge=45; Cached=1, Rsp=0.000043, 425.049746, 425.049789
[0-0]R=2516; MaxAge=100; Cached=0, Rsp=0.100643, 425.105248, 425.205891
[0-0]R=2517; MaxAge=100; Cached=0, Rsp=0.100630, 425.813652, 425.914282
[0-0]R=2517; MaxAge=45; Cached=1, Rsp=0.000025, 425.969700, 425.969725
[0-0]R=2518; MaxAge=100; Cached=0, Rsp=0.100621, 426.301263, 426.401884
[0-0]R=2519; MaxAge=100; Cached=0, Rsp=0.100639, 426.788688, 426.889327
[0-0]R=2520; MaxAge=100; Cached=0, Rsp=0.100537, 426.999942, 427.100479
[0-0]R=2520; MaxAge=45; Cached=1, Rsp=0.000040, 427.155895, 427.155935
[0-0]R=2521; MaxAge=100; Cached=0, Rsp=0.100644, 427.708470, 427.809114
[0-0]R=2521; MaxAge=100; Cached=1, Rsp=0.000022, 427.809279, 427.809301
[0-0]R=2522; MaxAge=100; Cached=0, Rsp=0.100527, 428.196109, 428.296636
[0-0]R=2523; MaxAge=100; Cached=0, Rsp=0.100594, 428.572937, 428.673531
[0-0]R=2524; MaxAge=100; Cached=0, Rsp=0.100613, 428.894685, 428.995298
[0-0]R=2525; MaxAge=100; Cached=0, Rsp=0.100618, 429.105881, 429.206499
[0-0]R=2526; MaxAge=100; Cached=0, Rsp=0.100614, 429.482795, 429.583409
[0-0]R=2527; MaxAge=100; Cached=0, Rsp=0.100617, 430.080788, 430.181405
[0-0]R=2528; MaxAge=100; Cached=0, Rsp=0.100626, 430.402468, 430.503094
[0-0]R=2528; MaxAge=100; Cached=1, Rsp=0.000019, 430.503259, 430.503278
[0-0]R=2529; MaxAge=100; Cached=0, Rsp=0.100621, 430.613845, 430.714466
[0-0]R=2529; MaxAge=45; Cached=1, Rsp=0.000026, 430.769862, 430.769888
[0-0]R=2530; MaxAge=100; Cached=0, Rsp=0.100629, 431.267302, 431.367931
[0-0]R=2531; MaxAge=100; Cached=0, Rsp=0.100619, 431.865280, 431.965899
[0-0]R=2532; MaxAge=100; Cached=0, Rsp=0.100525, 432.187051, 432.287576
[0-0]R=2533; MaxAge=100; Cached=0, Rsp=0.100645, 432.674289, 432.774934
[0-0]R=2534; MaxAge=100; Cached=0, Rsp=0.100584, 432.995954, 433.096538
[0-0]R=2534; MaxAge=100; Cached=1, Rsp=0.000022, 433.096703, 433.096725
[0-0]R=2534; MaxAge=45; Cached=1, Rsp=0.000044, 433.152087, 433.152131
[0-0]R=2535; MaxAge=100; Cached=0, Rsp=0.100601, 433.262832, 433.363433
[0-0]R=2536; MaxAge=100; Cached=0, Rsp=0.100618, 433.971312, 434.071930
[0-0]R=2537; MaxAge=100; Cached=0, Rsp=0.100583, 434.569303, 434.669886
[0-0]R=2537; MaxAge=45; Cached=1, Rsp=0.000040, 434.725316, 434.725356
[0-0]R=2538; MaxAge=100; Cached=0, Rsp=0.100622, 434.891246, 434.991868
[0-0]R=2539; MaxAge=100; Cached=0, Rsp=0.100620, 435.378711, 435.479331
[0-0]R=2540; MaxAge=100; Cached=0, Rsp=0.100579, 435.811007, 435.911586
[0-0]R=2540; MaxAge=100; Cached=1, Rsp=0.000022, 435.911755, 435.911777
[0-0]R=2541; MaxAge=100; Cached=0, Rsp=0.100591, 436.077560, 436.178151
[0-0]R=2542; MaxAge=100; Cached=0, Rsp=0.100629, 436.509753, 436.610382
[0-0]R=2542; MaxAge=45; Cached=1, Rsp=0.000041, 436.665804, 436.665845
[0-0]R=2543; MaxAge=100; Cached=0, Rsp=0.100633, 437.494699, 437.595332
[0-0]R=2543; MaxAge=45; Cached=1, Rsp=0.000025, 437.650732, 437.650757
[0-0]R=2544; MaxAge=100; Cached=0, Rsp=0.100633, 437.761311, 437.861944
[0-0]R=2545; MaxAge=100; Cached=0, Rsp=0.100626, 438.414410, 438.515036
[0-0]R=2545; MaxAge=45; Cached=1, Rsp=0.000042, 438.570422, 438.570464
[0-0]R=2546; MaxAge=100; Cached=0, Rsp=0.100623, 438.791605, 438.892228
[0-0]R=2546; MaxAge=45; Cached=1, Rsp=0.000024, 438.947624, 438.947648
[0-0]R=2547; MaxAge=100; Cached=0, Rsp=0.100607, 439.389650, 439.490257
[0-0]R=2548; MaxAge=100; Cached=0, Rsp=0.100629, 440.208599, 440.309228
[0-0]R=2548; MaxAge=45; Cached=1, Rsp=0.000041, 440.364626, 440.364667
[0-0]R=2548; MaxAge=45; Cached=1, Rsp=0.000014, 440.364886, 440.364900
[0-0]R=2548; MaxAge=45; Cached=1, Rsp=0.000013, 440.365005, 440.365018
[0-0]R=2549; MaxAge=100; Cached=0, Rsp=0.100614, 441.193766, 441.294380
[0-0]R=2550; MaxAge=100; Cached=0, Rsp=0.100621, 441.681265, 441.781886
[0-0]R=2550; MaxAge=100; Cached=1, Rsp=0.000019, 441.782054, 441.782073
[0-0]R=2551; MaxAge=100; Cached=0, Rsp=0.100620, 442.113593, 442.214213
[0-0]R=2551; MaxAge=100; Cached=1, Rsp=0.000017, 442.214407, 442.214424
[0-0]R=2552; MaxAge=100; Cached=0, Rsp=0.100623, 442.601211, 442.701834
[0-0]R=2553; MaxAge=100; Cached=0, Rsp=0.100599, 442.978129, 443.078728
[0-0]R=2553; MaxAge=100; Cached=1, Rsp=0.000019, 443.078897, 443.078916
[0-0]R=2554; MaxAge=100; Cached=0, Rsp=0.100626, 443.907638, 444.008264
[0-0]R=2554; MaxAge=45; Cached=1, Rsp=0.000025, 444.063681, 444.063706
[0-0]R=2555; MaxAge=100; Cached=0, Rsp=0.100612, 444.505705, 444.606317
[0-0]R=2555; MaxAge=100; Cached=1, Rsp=0.000016, 444.606506, 444.606522
[0-0]R=2556; MaxAge=100; Cached=0, Rsp=0.100546, 444.772367, 444.872913
[0-0]R=2557; MaxAge=100; Cached=0, Rsp=0.100621, 444.983447, 445.084068
[0-0]R=2558; MaxAge=100; Cached=0, Rsp=0.100599, 445.691910, 445.792509
[0-0]R=2559; MaxAge=100; Cached=0, Rsp=0.100614, 445.903195, 446.003809
[0-0]R=2559; MaxAge=100; Cached=1, Rsp=0.000021, 446.003975, 446.003996
[0-0]R=2560; MaxAge=100; Cached=0, Rsp=0.100623, 446.611787, 446.712410
[0-0]R=2561; MaxAge=100; Cached=0, Rsp=0.100626, 447.265041, 447.365667
[0-0]R=2561; MaxAge=100; Cached=1, Rsp=0.000021, 447.365833, 447.365854
[0-0]R=2562; MaxAge=100; Cached=0, Rsp=0.100615, 447.476424, 447.577039
[0-0]R=2562; MaxAge=100; Cached=1, Rsp=0.000020, 447.577208, 447.577228
[0-0]R=2563; MaxAge=100; Cached=0, Rsp=0.100629, 447.908784, 448.009413
[0-0]R=2564; MaxAge=100; Cached=0, Rsp=0.100613, 448.396305, 448.496918
[0-0]R=2565; MaxAge=100; Cached=0, Rsp=0.100622, 448.662807, 448.763429
[0-0]R=2566; MaxAge=100; Cached=0, Rsp=0.100602, 449.260800, 449.361402
[0-0]R=2567; MaxAge=100; Cached=0, Rsp=0.100631, 449.803522, 449.904153
[0-0]R=2567; MaxAge=100; Cached=1, Rsp=0.000024, 449.904323, 449.904347
[0-0]R=2568; MaxAge=100; Cached=0, Rsp=0.100660, 450.070189, 450.170849
[0-0]R=2568; MaxAge=45; Cached=1, Rsp=0.000025, 450.226243, 450.226268
[0-0]R=2569; MaxAge=100; Cached=0, Rsp=0.100615, 450.392153, 450.492768
[0-0]R=2570; MaxAge=100; Cached=0, Rsp=0.100624, 451.100551, 451.201175
[0-0]R=2571; MaxAge=100; Cached=0, Rsp=0.100633, 451.477474, 451.578107
[0-0]R=2572; MaxAge=100; Cached=0, Rsp=0.100557, 451.688684, 451.789241
[0-0]R=2573; MaxAge=100; Cached=0, Rsp=0.100624, 452.010357, 452.110981
[0-0]R=2573; MaxAge=45; Cached=1, Rsp=0.000024, 452.166367, 452.166391
