[13207-2400]R=2517; MaxAge=100; Cached=0, Rsp=0.100876, 0.000000, 425.914528
[13207-2400]R=2522; MaxAge=100; Cached=0, Rsp=0.100648, 0.000000, 428.296757
[13207-2400]R=2529; MaxAge=100; Cached=0, Rsp=0.100824, 0.000000, 430.714669
[13207-2400]R=2534; MaxAge=100; Cached=0, Rsp=0.101054, 0.000000, 433.097008
[13207-2400]R=2539; MaxAge=100; Cached=0, Rsp=0.100828, 0.000000, 435.479539
[13207-2400]R=2544; MaxAge=100; Cached=0, Rsp=0.100838, 0.000000, 437.862149
[13207-2400]R=2548; MaxAge=100; Cached=0, Rsp=0.100837, 0.000000, 440.309436
[13207-2400]R=2552; MaxAge=100; Cached=0, Rsp=0.100831, 0.000000, 442.702042
[13207-2400]R=2557; MaxAge=100; Cached=0, Rsp=0.100828, 0.000000, 445.084275
[13207-2400]R=2561; MaxAge=100; Cached=1, Rsp=0.000168, 0.000000, 447.366001
[13207-2400]R=2567; MaxAge=100; Cached=1, Rsp=0.000196, 0.000000, 449.904519
[13207-2400]R=2573; MaxAge=45; Cached=1, Rsp=0.000190, 0.000000, 452.166557
[13207-2400]R=2579; MaxAge=100; Cached=0, Rsp=0.100838, 0.000000, 454.704610
[13207-2400]R=2584; MaxAge=100; Cached=0, Rsp=0.100845, 0.000000, 457.087010
[13207-2400]R=2589; MaxAge=100; Cached=1, Rsp=0.000189, 0.000000, 459.414278
[13207-2400]R=2593; MaxAge=100; Cached=0, Rsp=0.100814, 0.000000, 461.861228
[13207-2400]R=2598; MaxAge=100; Cached=1, Rsp=0.000174, 0.000000, 464.189157
[13207-2400]R=2603; MaxAge=100; Cached=0, Rsp=0.100848, 0.000000, 466.682002
[13207-2400]R=2607; MaxAge=45; Cached=1, Rsp=0.000182, 0.000000, 468.963414
[13207-2400]R=2611; MaxAge=100; Cached=0, Rsp=0.100819, 0.000000, 471.465714
[13207-2400]R=2614; MaxAge=100; Cached=0, Rsp=0.100852, 0.000000, 473.867274
[13207-2400]R=2616; MaxAge=100; Cached=0, Rsp=0.100672, 0.000000, 476.278068
[13207-2400]R=2619; MaxAge=100; Cached=0, Rsp=0.100848, 0.000000, 478.679313
[13207-2400]R=2621; MaxAge=100; Cached=0, Rsp=0.100872, 0.000000, 481.090400
[13207-2400]R=2623; MaxAge=100; Cached=0, Rsp=0.100943, 0.000000, 483.501399
