[13213-1400]R=2498; MaxAge=100; Cached=0, Rsp=0.100822, 0.000000, 416.596851
[13213-1400]R=2501; MaxAge=100; Cached=1, Rsp=0.000171, 0.000000, 417.893497
[13213-1400]R=2504; MaxAge=100; Cached=0, Rsp=0.100977, 0.000000, 419.411369
[13213-1400]R=2506; MaxAge=45; Cached=1, Rsp=0.000334, 0.000000, 420.662743
[13213-1400]R=2509; MaxAge=100; Cached=0, Rsp=0.100827, 0.000000, 422.180344
[13213-1400]R=2512; MaxAge=45; Cached=1, Rsp=0.000332, 0.000000, 423.532318
[13213-1400]R=2515; MaxAge=100; Cached=0, Rsp=0.100682, 0.000000, 424.994535
[13213-1400]R=2518; MaxAge=100; Cached=0, Rsp=0.100836, 0.000000, 426.402099
[13213-1400]R=2521; MaxAge=100; Cached=1, Rsp=0.000170, 0.000000, 427.809449
[13213-1400]R=2525; MaxAge=100; Cached=0, Rsp=0.100821, 0.000000, 429.206702
[13213-1400]R=2528; MaxAge=100; Cached=1, Rsp=0.000179, 0.000000, 430.503438
[13213-1400]R=2531; MaxAge=100; Cached=0, Rsp=0.100838, 0.000000, 431.966118
[13213-1400]R=2535; MaxAge=100; Cached=0, Rsp=0.100827, 0.000000, 433.363659
[13213-1400]R=2537; MaxAge=45; Cached=1, Rsp=0.000323, 0.000000, 434.725639
[13213-1400]R=2541; MaxAge=100; Cached=0, Rsp=0.100842, 0.000000, 436.178402
[13213-1400]R=2543; MaxAge=100; Cached=0, Rsp=0.100844, 0.000000, 437.595543
[13213-1400]R=2546; MaxAge=45; Cached=1, Rsp=0.000176, 0.000000, 438.947800
[13213-1400]R=2548; MaxAge=45; Cached=1, Rsp=0.000146, 0.000000, 440.365032
[13213-1400]R=2550; MaxAge=100; Cached=0, Rsp=0.101126, 0.000000, 441.782391
[13213-1400]R=2553; MaxAge=100; Cached=1, Rsp=0.000162, 0.000000, 443.079059
[13213-1400]R=2555; MaxAge=100; Cached=0, Rsp=0.101126, 0.000000, 444.606831
[13213-1400]R=2559; MaxAge=100; Cached=0, Rsp=0.100824, 0.000000, 446.004019
[13213-1400]R=2561; MaxAge=100; Cached=0, Rsp=0.101091, 0.000000, 447.366132
[13213-1400]R=2565; MaxAge=100; Cached=0, Rsp=0.100846, 0.000000, 448.763653
[13213-1400]R=2568; MaxAge=100; Cached=0, Rsp=0.100881, 0.000000, 450.171070
[13213-1400]R=2571; MaxAge=100; Cached=0, Rsp=0.100843, 0.000000, 451.578317
[13213-1400]R=2574; MaxAge=100; Cached=1, Rsp=0.000178, 0.000000, 452.985451
[13213-1400]R=2578; MaxAge=100; Cached=0, Rsp=0.100817, 0.000000, 454.382919
[13213-1400]R=2581; MaxAge=100; Cached=0, Rsp=0.100837, 0.000000, 455.790320
[13213-1400]R=2584; MaxAge=45; Cached=1, Rsp=0.000213, 0.000000, 457.142412
[13213-1400]R=2587; MaxAge=100; Cached=0, Rsp=0.100793, 0.000000, 458.604858
[13213-1400]R=2590; MaxAge=100; Cached=0, Rsp=0.100845, 0.000000, 460.012191
[13213-1400]R=2592; MaxAge=100; Cached=0, Rsp=0.100787, 0.000000, 461.373798
[13213-1400]R=2595; MaxAge=100; Cached=0, Rsp=0.100629, 0.000000, 462.781654
[13213-1400]R=2598; MaxAge=100; Cached=0, Rsp=0.101007, 0.000000, 464.189189
[13213-1400]R=2601; MaxAge=100; Cached=1, Rsp=0.000177, 0.000000, 465.596629
[13213-1400]R=2604; MaxAge=100; Cached=0, Rsp=0.101107, 0.000000, 467.003948
[13213-1400]R=2606; MaxAge=100; Cached=0, Rsp=0.100844, 0.000000, 468.365373
[13213-1400]R=2608; MaxAge=100; Cached=0, Rsp=0.100830, 0.000000, 469.782268
[13213-1400]R=2610; MaxAge=100; Cached=0, Rsp=0.100851, 0.000000, 471.199268
