[0-0]R=2468; MaxAge=100; Cached=0, Rsp=0.100122, 401.097793, 401.197915
[0-0]R=2469; MaxAge=100; Cached=0, Rsp=0.100116, 401.806318, 401.906434
[0-0]R=2470; MaxAge=100; Cached=0, Rsp=0.100132, 402.293760, 402.393892
[0-0]R=2471; MaxAge=100; Cached=0, Rsp=0.100129, 402.505009, 402.605138
[0-0]R=2472; MaxAge=100; Cached=0, Rsp=0.100133, 403.379172, 403.479305
[0-0]R=2473; MaxAge=100; Cached=0, Rsp=0.100135, 403.866604, 403.966739
[0-0]R=2474; MaxAge=100; Cached=0, Rsp=0.100133, 404.188485, 404.288618
[0-0]R=2475; MaxAge=100; Cached=0, Rsp=0.100112, 405.173459, 405.273571
[0-0]R=2476; MaxAge=100; Cached=0, Rsp=0.100132, 406.102608, 406.202740
[0-0]R=2477; MaxAge=100; Cached=0, Rsp=0.100131, 406.590152, 406.690283
[0-0]R=2478; MaxAge=100; Cached=0, Rsp=0.100131, 406.856886, 406.957017
[0-0]R=2479; MaxAge=100; Cached=0, Rsp=0.100129, 407.896941, 407.997070
[0-0]R=2480; MaxAge=100; Cached=0, Rsp=0.100111, 408.108330, 408.208441
[0-0]R=2481; MaxAge=100; Cached=0, Rsp=0.100127, 408.761547, 408.861674
[0-0]R=2482; MaxAge=100; Cached=0, Rsp=0.100127, 408.972812, 409.072939
[0-0]R=2483; MaxAge=100; Cached=0, Rsp=0.100094, 409.460259, 409.560353
[0-0]R=2484; MaxAge=100; Cached=0, Rsp=0.100128, 409.671376, 409.771504
[0-0]R=2485; MaxAge=100; Cached=0, Rsp=0.100131, 409.882784, 409.982915
[0-0]R=2486; MaxAge=100; Cached=0, Rsp=0.100114, 410.591111, 410.691225
[0-0]R=2487; MaxAge=100; Cached=0, Rsp=0.100114, 410.912649, 411.012763
[0-0]R=2488; MaxAge=100; Cached=0, Rsp=0.100128, 411.400034, 411.500162
[0-0]R=2489; MaxAge=100; Cached=0, Rsp=0.100128, 411.777156, 411.877284
[0-0]R=2490; MaxAge=100; Cached=0, Rsp=0.100132, 412.264559, 412.364691
[0-0]R=2491; MaxAge=100; Cached=0, Rsp=0.100126, 412.697010, 412.797136
[0-0]R=2492; MaxAge=100; Cached=0, Rsp=0.100131, 413.295030, 413.395161
[0-0]R=2493; MaxAge=100; Cached=0, Rsp=0.100109, 413.672060, 413.772169
[0-0]R=2494; MaxAge=100; Cached=0, Rsp=0.100108, 414.214770, 414.314878
[0-0]R=2495; MaxAge=100; Cached=0, Rsp=0.100117, 415.088764, 415.188881
[0-0]R=2496; MaxAge=100; Cached=0, Rsp=0.100132, 415.576121, 415.676253
[0-0]R=2497; MaxAge=100; Cached=0, Rsp=0.100130, 416.008462, 416.108592
[0-0]R=2498; MaxAge=100; Cached=0, Rsp=0.100112, 416.496277, 416.596389
[0-0]R=2499; MaxAge=100; Cached=0, Rsp=0.100110, 416.873223, 416.973333
[0-0]R=2500; MaxAge=100; Cached=0, Rsp=0.100127, 417.471142, 417.571269
[0-0]R=2501; MaxAge=100; Cached=0, Rsp=0.100132, 417.792777, 417.892909
