[0-0]R=966322; MaxAge=334; Rsp=0.028018;(0.012934)(0.005982)(0.009068)(0.000034)
[0-0]R=966324; MaxAge=315; Rsp=0.028128;(0.012990)(0.005962)(0.009125)(0.000051)
[0-0]R=966326; MaxAge=353; Rsp=0.028126;(0.012987)(0.005999)(0.009105)(0.000035)
[0-0]R=966328; MaxAge=365; Rsp=0.028087;(0.012976)(0.005975)(0.009102)(0.000034)
[0-0]R=966330; MaxAge=344; Rsp=0.028163;(0.013000)(0.006000)(0.009111)(0.000052)
[0-0]R=966332; MaxAge=322; Rsp=0.028143;(0.013038)(0.005945)(0.009124)(0.000036)
[0-0]R=966334; MaxAge=335; Rsp=0.028202;(0.013086)(0.005974)(0.009107)(0.000035)
[0-0]R=966336; MaxAge=319; Rsp=0.028082;(0.012993)(0.005996)(0.009063)(0.000030)
[0-0]R=966338; MaxAge=353; Rsp=0.028082;(0.012974)(0.005988)(0.009085)(0.000035)
[0-0]R=966340; MaxAge=366; Rsp=0.028051;(0.012989)(0.005990)(0.009050)(0.000022)
[0-0]R=966342; MaxAge=349; Rsp=0.027131;(0.012292)(0.005690)(0.009099)(0.000050)
[0-0]R=966344; MaxAge=327; Rsp=0.028120;(0.012997)(0.006006)(0.009081)(0.000036)
[0-0]R=966346; MaxAge=339; Rsp=0.027115;(0.013037)(0.005883)(0.008174)(0.000021)
[0-0]R=966348; MaxAge=320; Rsp=0.028145;(0.012997)(0.006001)(0.009097)(0.000050)
[0-0]R=966350; MaxAge=358; Rsp=0.028144;(0.012954)(0.006069)(0.009052)(0.000069)
[0-0]R=966352; MaxAge=311; Rsp=0.028110;(0.013012)(0.005985)(0.009091)(0.000022)
[0-0]R=966354; MaxAge=351; Rsp=0.027145;(0.013002)(0.005131)(0.008955)(0.000057)
[0-0]R=966356; MaxAge=329; Rsp=0.028168;(0.013023)(0.006170)(0.008939)(0.000036)
[0-0]R=966358; MaxAge=333; Rsp=0.028121;(0.013005)(0.005989)(0.009092)(0.000035)
[0-0]R=966360; MaxAge=312; Rsp=0.027429;(0.013012)(0.005985)(0.008384)(0.000048)
[0-0]R=966362; MaxAge=350; Rsp=0.028099;(0.013167)(0.005823)(0.009075)(0.000034)
[0-0]R=966364; MaxAge=358; Rsp=0.028074;(0.012971)(0.006003)(0.009065)(0.000035)
[0-0]R=966366; MaxAge=336; Rsp=0.028117;(0.012970)(0.006022)(0.009077)(0.000048)
[0-0]R=966368; MaxAge=318; Rsp=0.028112;(0.013007)(0.005992)(0.009078)(0.000035)
[0-0]R=966370; MaxAge=328; Rsp=0.027091;(0.012980)(0.005201)(0.008876)(0.000034)
[0-0]R=966372; MaxAge=366; Rsp=0.028136;(0.012984)(0.005959)(0.009143)(0.000050)
[0-0]R=966374; MaxAge=343; Rsp=0.028105;(0.012989)(0.006009)(0.009073)(0.000034)
[0-0]R=966376; MaxAge=355; Rsp=0.027136;(0.012990)(0.005085)(0.009028)(0.000033)
[0-0]R=966378; MaxAge=335; Rsp=0.027555;(0.013021)(0.006039)(0.008395)(0.000100)
[0-0]R=966380; MaxAge=315; Rsp=0.028106;(0.013040)(0.005969)(0.009064)(0.000033)
[0-0]R=966382; MaxAge=326; Rsp=0.028126;(0.013008)(0.005975)(0.009107)(0.000036)
[0-0]R=966384; MaxAge=311; Rsp=0.028146;(0.012994)(0.006000)(0.009101)(0.000051)
[0-0]R=966386; MaxAge=349; Rsp=0.028131;(0.012983)(0.005997)(0.009114)(0.000037)
[0-0]R=966388; MaxAge=358; Rsp=0.028102;(0.012977)(0.006011)(0.009080)(0.000034)
[0-0]R=966390; MaxAge=339; Rsp=0.028101;(0.013005)(0.006034)(0.009014)(0.000048)
[0-0]R=966392; MaxAge=318; Rsp=0.028093;(0.012981)(0.006014)(0.009063)(0.000035)
[0-0]R=966394; MaxAge=325; Rsp=0.028149;(0.013030)(0.005974)(0.009110)(0.000035)
[0-0]R=966396; MaxAge=361; Rsp=0.028114;(0.012990)(0.005996)(0.009079)(0.000049)
[0-0]R=966398; MaxAge=342; Rsp=0.028135;(0.012992)(0.005998)(0.009108)(0.000037)
[0-0]R=966400; MaxAge=353; Rsp=0.028138;(0.013038)(0.005987)(0.009079)(0.000034)
[0-0]R=966402; MaxAge=334; Rsp=0.027600;(0.012955)(0.006001)(0.008594)(0.000050)
[0-0]R=966404; MaxAge=311; Rsp=0.028105;(0.012996)(0.006002)(0.009073)(0.000034)
[0-0]R=966406; MaxAge=321; Rsp=0.028044;(0.012973)(0.005969)(0.009080)(0.000022)
[0-0]R=966408; MaxAge=359; Rsp=0.027104;(0.012954)(0.005105)(0.008995)(0.000050)
[0-0]R=966410; MaxAge=341; Rsp=0.028122;(0.013020)(0.005980)(0.009088)(0.000034)
[0-0]R=966412; MaxAge=353; Rsp=0.028105;(0.013011)(0.005969)(0.009090)(0.000035)
[0-0]R=966414; MaxAge=334; Rsp=0.027281;(0.012989)(0.006003)(0.008239)(0.000050)
[0-0]R=966416; MaxAge=318; Rsp=0.028120;(0.012998)(0.006007)(0.009074)(0.000041)
[0-0]R=966418; MaxAge=328; Rsp=0.028145;(0.013069)(0.005996)(0.009058)(0.000022)
[0-0]R=966420; MaxAge=312; Rsp=0.028131;(0.012972)(0.005988)(0.009119)(0.000052)
[0-0]R=966422; MaxAge=350; Rsp=0.028166;(0.012998)(0.006001)(0.009123)(0.000044)
[0-0]R=966424; MaxAge=359; Rsp=0.028083;(0.012972)(0.005999)(0.009078)(0.000034)
[0-0]R=966426; MaxAge=339; Rsp=0.028142;(0.013019)(0.005997)(0.009071)(0.000055)
[0-0]R=966428; MaxAge=320; Rsp=0.028120;(0.013001)(0.006005)(0.009073)(0.000041)
[0-0]R=966430; MaxAge=329; Rsp=0.028109;(0.013001)(0.006006)(0.009061)(0.000041)
[0-0]R=966432; MaxAge=314; Rsp=0.028102;(0.012959)(0.006005)(0.009088)(0.000050)
[0-0]R=966434; MaxAge=350; Rsp=0.028098;(0.012992)(0.005991)(0.009078)(0.000037)
[0-0]R=966436; MaxAge=362; Rsp=0.028132;(0.012992)(0.005990)(0.009117)(0.000033)
[0-0]R=966438; MaxAge=347; Rsp=0.027081;(0.012355)(0.005579)(0.009097)(0.000050)
[0-0]R=966440; MaxAge=324; Rsp=0.027076;(0.012945)(0.005534)(0.008561)(0.000036)
[0-0]R=966442; MaxAge=334; Rsp=0.027313;(0.012990)(0.005993)(0.008294)(0.000036)
[0-0]R=966444; MaxAge=318; Rsp=0.027048;(0.012461)(0.005562)(0.008979)(0.000046)
[0-0]R=966446; MaxAge=356; Rsp=0.028138;(0.013011)(0.005975)(0.009118)(0.000034)
[0-0]R=966448; MaxAge=365; Rsp=0.028205;(0.012959)(0.005981)(0.009230)(0.000035)
[0-0]R=966450; MaxAge=344; Rsp=0.028143;(0.013006)(0.006001)(0.009088)(0.000048)
[0-0]R=966452; MaxAge=329; Rsp=0.028082;(0.012966)(0.006017)(0.009071)(0.000028)
[0-0]R=966454; MaxAge=338; Rsp=0.027254;(0.012991)(0.005228)(0.008999)(0.000036)
[0-0]R=966456; MaxAge=321; Rsp=0.028156;(0.012977)(0.005969)(0.009179)(0.000031)
