[7937-1]R=966564; MaxAge=326; Rsp=0.027223;(0.012975)(0.005851)(0.008267)(0.000130)
[7937-2]R=966567; MaxAge=326; Rsp=0.028090;(0.012855)(0.006006)(0.009110)(0.000119)
[7937-3]R=966570; MaxAge=325; Rsp=0.027232;(0.012851)(0.006021)(0.008132)(0.000228)
[7937-4]R=966573; MaxAge=325; Rsp=0.028084;(0.012836)(0.006035)(0.009083)(0.000130)
[7937-5]R=966576; MaxAge=325; Rsp=0.028312;(0.012908)(0.005998)(0.009183)(0.000223)
[7937-6]R=966579; MaxAge=324; Rsp=0.028052;(0.012874)(0.006026)(0.009041)(0.000111)
[7937-7]R=966582; MaxAge=323; Rsp=0.027649;(0.012850)(0.006006)(0.008699)(0.000094)
[7937-8]R=966585; MaxAge=322; Rsp=0.028076;(0.012829)(0.006017)(0.009100)(0.000130)
[7937-9]R=966588; MaxAge=321; Rsp=0.028150;(0.012864)(0.006001)(0.009067)(0.000218)
[7937-10]R=966591; MaxAge=319; Rsp=0.028084;(0.012858)(0.006036)(0.009067)(0.000123)
[7937-11]R=966594; MaxAge=320; Rsp=0.027084;(0.012856)(0.005039)(0.009078)(0.000111)
[7937-12]R=966597; MaxAge=319; Rsp=0.027037;(0.012857)(0.005045)(0.009029)(0.000106)
[7937-13]R=966600; MaxAge=318; Rsp=0.027199;(0.012123)(0.005766)(0.009098)(0.000212)
[7937-14]R=966603; MaxAge=318; Rsp=0.026089;(0.012857)(0.005021)(0.008100)(0.000111)
[7937-15]R=966606; MaxAge=317; Rsp=0.026205;(0.012844)(0.005020)(0.008116)(0.000225)
[7937-16]R=966609; MaxAge=316; Rsp=0.027052;(0.012860)(0.005576)(0.008502)(0.000114)
[7937-17]R=966612; MaxAge=314; Rsp=0.028159;(0.012859)(0.006022)(0.009058)(0.000220)
[7937-18]R=966615; MaxAge=313; Rsp=0.028081;(0.012854)(0.006010)(0.009099)(0.000118)
[7937-19]R=966618; MaxAge=312; Rsp=0.028056;(0.012867)(0.006026)(0.009055)(0.000108)
[7937-20]R=966621; MaxAge=311; Rsp=0.028043;(0.012895)(0.005990)(0.009074)(0.000084)
[7937-21]R=966624; MaxAge=310; Rsp=0.028220;(0.012884)(0.005984)(0.009116)(0.000236)
[7937-22]R=966627; MaxAge=309; Rsp=0.028084;(0.012856)(0.006012)(0.009100)(0.000116)
[7937-23]R=966630; MaxAge=308; Rsp=0.028091;(0.012861)(0.006011)(0.009100)(0.000119)
[7937-24]R=966633; MaxAge=307; Rsp=0.028032;(0.012877)(0.005994)(0.009076)(0.000085)
[7937-25]R=966636; MaxAge=306; Rsp=0.027217;(0.012855)(0.005091)(0.009035)(0.000236)
[7937-26]R=966639; MaxAge=305; Rsp=0.027955;(0.012736)(0.006050)(0.009048)(0.000121)
[7937-27]R=966642; MaxAge=305; Rsp=0.028086;(0.012855)(0.006014)(0.009092)(0.000125)
[7937-28]R=966645; MaxAge=304; Rsp=0.027993;(0.012848)(0.006021)(0.009007)(0.000117)
[7937-29]R=966648; MaxAge=305; Rsp=0.027190;(0.012240)(0.005679)(0.009035)(0.000236)
[7937-30]R=966651; MaxAge=304; Rsp=0.027982;(0.012801)(0.006000)(0.009073)(0.000108)
[7937-31]R=966654; MaxAge=305; Rsp=0.027037;(0.012527)(0.005336)(0.009064)(0.000110)
[7937-32]R=966657; MaxAge=302; Rsp=0.028031;(0.012859)(0.006007)(0.009069)(0.000096)
[7937-33]R=966660; MaxAge=301; Rsp=0.028187;(0.012954)(0.005916)(0.009082)(0.000235)
[7937-34]R=966663; MaxAge=301; Rsp=0.028069;(0.012861)(0.006000)(0.009094)(0.000114)
[7937-35]R=966666; MaxAge=301; Rsp=0.027146;(0.012822)(0.005028)(0.009167)(0.000129)
[7937-36]R=966669; MaxAge=299; Rsp=0.028054;(0.012870)(0.005982)(0.009088)(0.000114)
[7937-37]R=966672; MaxAge=300; Rsp=0.027207;(0.012859)(0.005039)(0.009091)(0.000218)
[7937-38]R=966675; MaxAge=327; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(675.682187)
[7937-39]R=966678; MaxAge=298; Rsp=0.026947;(0.012849)(0.005921)(0.008088)(0.000089)
[7937-40]R=966681; MaxAge=325; Rsp=0.000101;(0.000000)(0.000000)(0.000000)(681.683350)
[7937-41]R=966684; MaxAge=297; Rsp=0.028167;(0.012859)(0.005977)(0.009078)(0.000253)
[7937-42]R=966687; MaxAge=325; Rsp=0.000141;(0.000000)(0.000000)(0.000000)(687.683731)
[7937-43]R=966690; MaxAge=296; Rsp=0.028058;(0.012863)(0.006006)(0.009072)(0.000117)
[7937-44]R=966693; MaxAge=324; Rsp=0.000138;(0.000000)(0.000000)(0.000000)(693.684993)
[7937-45]R=966696; MaxAge=296; Rsp=0.028148;(0.012855)(0.006028)(0.009045)(0.000220)
[7937-46]R=966699; MaxAge=323; Rsp=0.000131;(0.000000)(0.000000)(0.000000)(699.685252)
[7937-47]R=966702; MaxAge=294; Rsp=0.028108;(0.012864)(0.006010)(0.009030)(0.000204)
[7937-48]R=966705; MaxAge=321; Rsp=0.000132;(0.000000)(0.000000)(0.000000)(705.687524)
[7937-49]R=966708; MaxAge=293; Rsp=0.028140;(0.012863)(0.005983)(0.009080)(0.000214)
[7937-50]R=966711; MaxAge=321; Rsp=0.000148;(0.000000)(0.000000)(0.000000)(711.687868)
[7937-51]R=966714; MaxAge=293; Rsp=0.028127;(0.012876)(0.005984)(0.009154)(0.000113)
[7937-52]R=966717; MaxAge=320; Rsp=0.000133;(0.000000)(0.000000)(0.000000)(717.689059)
[7937-53]R=966720; MaxAge=292; Rsp=0.028231;(0.012849)(0.006005)(0.009110)(0.000267)
[7937-54]R=966723; MaxAge=318; Rsp=0.000133;(0.000000)(0.000000)(0.000000)(723.690380)
[7937-55]R=966726; MaxAge=289; Rsp=0.028000;(0.012766)(0.006002)(0.009014)(0.000218)
[7937-56]R=966729; MaxAge=317; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(729.691662)
[7937-57]R=966732; MaxAge=289; Rsp=0.027099;(0.012884)(0.005961)(0.008105)(0.000149)
[7937-58]R=966735; MaxAge=316; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(735.692909)
[7937-59]R=966738; MaxAge=287; Rsp=0.027996;(0.012858)(0.006010)(0.009049)(0.000079)
[7937-60]R=966741; MaxAge=314; Rsp=0.000150;(0.000000)(0.000000)(0.000000)(741.695215)
[7937-61]R=966744; MaxAge=286; Rsp=0.027118;(0.012859)(0.005024)(0.009092)(0.000143)
[7937-62]R=966747; MaxAge=313; Rsp=0.000152;(0.000000)(0.000000)(0.000000)(747.695517)
[7937-63]R=966750; MaxAge=285; Rsp=0.027960;(0.012766)(0.006000)(0.009083)(0.000111)
[7937-64]R=966753; MaxAge=312; Rsp=0.000140;(0.000000)(0.000000)(0.000000)(753.696765)
[7937-65]R=966756; MaxAge=284; Rsp=0.027155;(0.012851)(0.005093)(0.008986)(0.000225)
[7937-66]R=966759; MaxAge=310; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(759.699024)
[7937-67]R=966762; MaxAge=281; Rsp=0.028126;(0.012850)(0.005963)(0.009088)(0.000225)
[7937-68]R=966765; MaxAge=308; Rsp=0.000143;(0.000000)(0.000000)(0.000000)(765.701319)
[7937-69]R=966768; MaxAge=278; Rsp=0.028208;(0.012870)(0.006000)(0.009084)(0.000254)
[7937-70]R=966771; MaxAge=305; Rsp=0.000132;(0.000000)(0.000000)(0.000000)(771.703581)
[7937-71]R=966774; MaxAge=276; Rsp=0.028171;(0.012869)(0.005998)(0.009077)(0.000227)
[7937-72]R=966777; MaxAge=303; Rsp=0.000090;(0.000000)(0.000000)(0.000000)(777.705784)
[7937-73]R=966780; MaxAge=274; Rsp=0.028187;(0.012822)(0.006056)(0.009076)(0.000233)
[7937-74]R=966783; MaxAge=301; Rsp=0.000087;(0.000000)(0.000000)(0.000000)(783.708085)
[7937-75]R=966786; MaxAge=271; Rsp=0.028220;(0.012924)(0.005951)(0.009066)(0.000279)
[7937-76]R=966789; MaxAge=298; Rsp=0.000089;(0.000000)(0.000000)(0.000000)(789.710288)
